Year,Nation,iso_code3,exports_enfu_pj_fuel_natural_gas
2035,Cambodia,KHM,0.0
2036,Cambodia,KHM,0.0
2037,Cambodia,KHM,0.0
2038,Cambodia,KHM,0.0
2039,Cambodia,KHM,0.0
2040,Cambodia,KHM,0.0
2041,Cambodia,KHM,0.0
2042,Cambodia,KHM,0.0
2043,Cambodia,KHM,0.0
2044,Cambodia,KHM,0.0
2045,Cambodia,KHM,0.0
2046,Cambodia,KHM,0.0
2047,Cambodia,KHM,0.0
2048,Cambodia,KHM,0.0
2049,Cambodia,KHM,0.0
2050,Cambodia,KHM,0.0
2018,Cameroon,CMR,0.0
2019,Cameroon,CMR,0.0
2020,Cameroon,CMR,0.0
2021,Cameroon,CMR,0.0
2022,Cameroon,CMR,0.0
2023,Cameroon,CMR,0.0
2024,Cameroon,CMR,0.0
2025,Cameroon,CMR,0.0
2026,Cameroon,CMR,0.0
2027,Cameroon,CMR,0.0
2028,Cameroon,CMR,0.0
2029,Cameroon,CMR,0.0
2030,Cameroon,CMR,0.0
2031,Cameroon,CMR,0.0
2032,Cameroon,CMR,0.0
2033,Cameroon,CMR,0.0
2034,Cameroon,CMR,0.0
2035,Cameroon,CMR,0.0
2036,Cameroon,CMR,0.0
2037,Cameroon,CMR,0.0
2038,Cameroon,CMR,0.0
2039,Cameroon,CMR,0.0
2040,Cameroon,CMR,0.0
2041,Cameroon,CMR,0.0
2042,Cameroon,CMR,0.0
2043,Cameroon,CMR,0.0
2044,Cameroon,CMR,0.0
2045,Cameroon,CMR,0.0
2046,Cameroon,CMR,0.0
2047,Cameroon,CMR,0.0
2048,Cameroon,CMR,0.0
2049,Cameroon,CMR,0.0
2050,Cameroon,CMR,0.0
2018,Canada,CAN,2879.149
2019,Canada,CAN,2879.149
2020,Canada,CAN,2879.149
2021,Canada,CAN,2879.149
2022,Canada,CAN,2879.149
2023,Canada,CAN,2879.149
2024,Canada,CAN,2879.149
2025,Canada,CAN,2879.149
2026,Canada,CAN,2879.149
2027,Canada,CAN,2879.149
2028,Canada,CAN,2879.149
2029,Canada,CAN,2879.149
2030,Canada,CAN,2879.149
2031,Canada,CAN,2879.149
2032,Canada,CAN,2879.149
2033,Canada,CAN,2879.149
2034,Canada,CAN,2879.149
2035,Canada,CAN,2879.149
2036,Canada,CAN,2879.149
2037,Canada,CAN,2879.149
2038,Canada,CAN,2879.149
2039,Canada,CAN,2879.149
2040,Canada,CAN,2879.149
2041,Canada,CAN,2879.149
2042,Canada,CAN,2879.149
2043,Canada,CAN,2879.149
2044,Canada,CAN,2879.149
2045,Canada,CAN,2879.149
2046,Canada,CAN,2879.149
2047,Canada,CAN,2879.149
2048,Canada,CAN,2879.149
2049,Canada,CAN,2879.149
2050,Canada,CAN,2879.149
2018,Cayman Islands,CYM,0.0
2019,Cayman Islands,CYM,0.0
2020,Cayman Islands,CYM,0.0
2021,Cayman Islands,CYM,0.0
2022,Cayman Islands,CYM,0.0
2023,Cayman Islands,CYM,0.0
2024,Cayman Islands,CYM,0.0
2025,Cayman Islands,CYM,0.0
2026,Cayman Islands,CYM,0.0
2027,Cayman Islands,CYM,0.0
2028,Cayman Islands,CYM,0.0
2029,Cayman Islands,CYM,0.0
2030,Cayman Islands,CYM,0.0
2031,Cayman Islands,CYM,0.0
2032,Cayman Islands,CYM,0.0
2033,Cayman Islands,CYM,0.0
2034,Cayman Islands,CYM,0.0
2035,Cayman Islands,CYM,0.0
2036,Cayman Islands,CYM,0.0
2037,Cayman Islands,CYM,0.0
2038,Cayman Islands,CYM,0.0
2039,Cayman Islands,CYM,0.0
2040,Cayman Islands,CYM,0.0
2041,Cayman Islands,CYM,0.0
2042,Cayman Islands,CYM,0.0
2043,Cayman Islands,CYM,0.0
2044,Cayman Islands,CYM,0.0
2045,Cayman Islands,CYM,0.0
2046,Cayman Islands,CYM,0.0
2047,Cayman Islands,CYM,0.0
2048,Cayman Islands,CYM,0.0
2049,Cayman Islands,CYM,0.0
2050,Cayman Islands,CYM,0.0
2018,Chile,CHL,12.676
2019,Chile,CHL,12.676
2020,Chile,CHL,12.676
2021,Chile,CHL,12.676
2022,Chile,CHL,12.676
2023,Chile,CHL,12.676
2024,Chile,CHL,12.676
2025,Chile,CHL,12.676
2026,Chile,CHL,12.676
2027,Chile,CHL,12.676
2028,Chile,CHL,12.676
2029,Chile,CHL,12.676
2030,Chile,CHL,12.676
2031,Chile,CHL,12.676
2032,Chile,CHL,12.676
2033,Chile,CHL,12.676
2034,Chile,CHL,12.676
2035,Chile,CHL,12.676
2036,Chile,CHL,12.676
2037,Chile,CHL,12.676
2038,Chile,CHL,12.676
2039,Chile,CHL,12.676
2040,Chile,CHL,12.676
2041,Chile,CHL,12.676
2042,Chile,CHL,12.676
2043,Chile,CHL,12.676
2044,Chile,CHL,12.676
2045,Chile,CHL,12.676
2046,Chile,CHL,12.676
2047,Chile,CHL,12.676
2048,Chile,CHL,12.676
2049,Chile,CHL,12.676
2050,Chile,CHL,12.676
2018,China,CHN,118.393
2019,China,CHN,118.393
2020,China,CHN,118.393
2021,China,CHN,118.393
2022,China,CHN,118.393
2023,China,CHN,118.393
2024,China,CHN,118.393
2025,China,CHN,118.393
2026,China,CHN,118.393
2027,China,CHN,118.393
2028,China,CHN,118.393
2029,China,CHN,118.393
2030,China,CHN,118.393
2031,China,CHN,118.393
2032,China,CHN,118.393
2033,China,CHN,118.393
2034,China,CHN,118.393
2035,China,CHN,118.393
2036,China,CHN,118.393
2037,China,CHN,118.393
2038,China,CHN,118.393
2039,China,CHN,118.393
2040,China,CHN,118.393
2041,China,CHN,118.393
2042,China,CHN,118.393
2043,China,CHN,118.393
2044,China,CHN,118.393
2045,China,CHN,118.393
2046,China,CHN,118.393
2047,China,CHN,118.393
2048,China,CHN,118.393
2049,China,CHN,118.393
2050,China,CHN,118.393
2018,Colombia,COL,0.0
2019,Colombia,COL,0.0
2020,Colombia,COL,0.0
2021,Colombia,COL,0.0
2022,Colombia,COL,0.0
2023,Colombia,COL,0.0
2024,Colombia,COL,0.0
2025,Colombia,COL,0.0
2026,Colombia,COL,0.0
2027,Colombia,COL,0.0
2028,Colombia,COL,0.0
2029,Colombia,COL,0.0
2030,Colombia,COL,0.0
2031,Colombia,COL,0.0
2032,Colombia,COL,0.0
2033,Colombia,COL,0.0
2034,Colombia,COL,0.0
2035,Colombia,COL,0.0
2036,Colombia,COL,0.0
2037,Colombia,COL,0.0
2038,Colombia,COL,0.0
2039,Colombia,COL,0.0
2040,Colombia,COL,0.0
2041,Colombia,COL,0.0
2042,Colombia,COL,0.0
2043,Colombia,COL,0.0
2044,Colombia,COL,0.0
2045,Colombia,COL,0.0
2046,Colombia,COL,0.0
2047,Colombia,COL,0.0
2048,Colombia,COL,0.0
2049,Colombia,COL,0.0
2050,Colombia,COL,0.0
2018,"Congo, Dem. Rep.",COD,0.0
2019,"Congo, Dem. Rep.",COD,0.0
2020,"Congo, Dem. Rep.",COD,0.0
2021,"Congo, Dem. Rep.",COD,0.0
2022,"Congo, Dem. Rep.",COD,0.0
2023,"Congo, Dem. Rep.",COD,0.0
2024,"Congo, Dem. Rep.",COD,0.0
2025,"Congo, Dem. Rep.",COD,0.0
2026,"Congo, Dem. Rep.",COD,0.0
2027,"Congo, Dem. Rep.",COD,0.0
2028,"Congo, Dem. Rep.",COD,0.0
2029,"Congo, Dem. Rep.",COD,0.0
2030,"Congo, Dem. Rep.",COD,0.0
2031,"Congo, Dem. Rep.",COD,0.0
2032,"Congo, Dem. Rep.",COD,0.0
2033,"Congo, Dem. Rep.",COD,0.0
2034,"Congo, Dem. Rep.",COD,0.0
2035,"Congo, Dem. Rep.",COD,0.0
2036,"Congo, Dem. Rep.",COD,0.0
2037,"Congo, Dem. Rep.",COD,0.0
2038,"Congo, Dem. Rep.",COD,0.0
2039,"Congo, Dem. Rep.",COD,0.0
2040,"Congo, Dem. Rep.",COD,0.0
2041,"Congo, Dem. Rep.",COD,0.0
2042,"Congo, Dem. Rep.",COD,0.0
2043,"Congo, Dem. Rep.",COD,0.0
2044,"Congo, Dem. Rep.",COD,0.0
2045,"Congo, Dem. Rep.",COD,0.0
2046,"Congo, Dem. Rep.",COD,0.0
2047,"Congo, Dem. Rep.",COD,0.0
2048,"Congo, Dem. Rep.",COD,0.0
2049,"Congo, Dem. Rep.",COD,0.0
2050,"Congo, Dem. Rep.",COD,0.0
2018,Costa Rica,CRI,0.0
2019,Costa Rica,CRI,0.0
2020,Costa Rica,CRI,0.0
2021,Costa Rica,CRI,0.0
2022,Costa Rica,CRI,0.0
2023,Costa Rica,CRI,0.0
2024,Costa Rica,CRI,0.0
2025,Costa Rica,CRI,0.0
2026,Costa Rica,CRI,0.0
2027,Costa Rica,CRI,0.0
2028,Costa Rica,CRI,0.0
2029,Costa Rica,CRI,0.0
2030,Costa Rica,CRI,0.0
2031,Costa Rica,CRI,0.0
2032,Costa Rica,CRI,0.0
2033,Costa Rica,CRI,0.0
2034,Costa Rica,CRI,0.0
2035,Costa Rica,CRI,0.0
2036,Costa Rica,CRI,0.0
2037,Costa Rica,CRI,0.0
2038,Costa Rica,CRI,0.0
2039,Costa Rica,CRI,0.0
2040,Costa Rica,CRI,0.0
2041,Costa Rica,CRI,0.0
2042,Costa Rica,CRI,0.0
2043,Costa Rica,CRI,0.0
2044,Costa Rica,CRI,0.0
2045,Costa Rica,CRI,0.0
2046,Costa Rica,CRI,0.0
2047,Costa Rica,CRI,0.0
2048,Costa Rica,CRI,0.0
2049,Costa Rica,CRI,0.0
2050,Costa Rica,CRI,0.0
2018,Cote d'Ivoire,CIV,0.0
2019,Cote d'Ivoire,CIV,0.0
2020,Cote d'Ivoire,CIV,0.0
2021,Cote d'Ivoire,CIV,0.0
2022,Cote d'Ivoire,CIV,0.0
2023,Cote d'Ivoire,CIV,0.0
2024,Cote d'Ivoire,CIV,0.0
2025,Cote d'Ivoire,CIV,0.0
2026,Cote d'Ivoire,CIV,0.0
2027,Cote d'Ivoire,CIV,0.0
2028,Cote d'Ivoire,CIV,0.0
2029,Cote d'Ivoire,CIV,0.0
2030,Cote d'Ivoire,CIV,0.0
2031,Cote d'Ivoire,CIV,0.0
2032,Cote d'Ivoire,CIV,0.0
2033,Cote d'Ivoire,CIV,0.0
2034,Cote d'Ivoire,CIV,0.0
2035,Cote d'Ivoire,CIV,0.0
2036,Cote d'Ivoire,CIV,0.0
2037,Cote d'Ivoire,CIV,0.0
2038,Cote d'Ivoire,CIV,0.0
2039,Cote d'Ivoire,CIV,0.0
2040,Cote d'Ivoire,CIV,0.0
2041,Cote d'Ivoire,CIV,0.0
2042,Cote d'Ivoire,CIV,0.0
2043,Cote d'Ivoire,CIV,0.0
2044,Cote d'Ivoire,CIV,0.0
2045,Cote d'Ivoire,CIV,0.0
2046,Cote d'Ivoire,CIV,0.0
2047,Cote d'Ivoire,CIV,0.0
2048,Cote d'Ivoire,CIV,0.0
2049,Cote d'Ivoire,CIV,0.0
2050,Cote d'Ivoire,CIV,0.0
2018,Croatia,HRV,13.551
2019,Croatia,HRV,13.551
2020,Croatia,HRV,13.551
2021,Croatia,HRV,13.551
2022,Croatia,HRV,13.551
2023,Croatia,HRV,13.551
2024,Croatia,HRV,13.551
2025,Croatia,HRV,13.551
2026,Croatia,HRV,13.551
2027,Croatia,HRV,13.551
2028,Croatia,HRV,13.551
2029,Croatia,HRV,13.551
2030,Croatia,HRV,13.551
2031,Croatia,HRV,13.551
2032,Croatia,HRV,13.551
2033,Croatia,HRV,13.551
2034,Croatia,HRV,13.551
2035,Croatia,HRV,13.551
2036,Croatia,HRV,13.551
2037,Croatia,HRV,13.551
2038,Croatia,HRV,13.551
2039,Croatia,HRV,13.551
2040,Croatia,HRV,13.551
2041,Croatia,HRV,13.551
2042,Croatia,HRV,13.551
2043,Croatia,HRV,13.551
2044,Croatia,HRV,13.551
2045,Croatia,HRV,13.551
2046,Croatia,HRV,13.551
2047,Croatia,HRV,13.551
2048,Croatia,HRV,13.551
2049,Croatia,HRV,13.551
2050,Croatia,HRV,13.551
2018,Cuba,CUB,0.0
2019,Cuba,CUB,0.0
2020,Cuba,CUB,0.0
2021,Cuba,CUB,0.0
2022,Cuba,CUB,0.0
2023,Cuba,CUB,0.0
2024,Cuba,CUB,0.0
2025,Cuba,CUB,0.0
2026,Cuba,CUB,0.0
2027,Cuba,CUB,0.0
2028,Cuba,CUB,0.0
2029,Cuba,CUB,0.0
2030,Cuba,CUB,0.0
2031,Cuba,CUB,0.0
2032,Cuba,CUB,0.0
2033,Cuba,CUB,0.0
2034,Cuba,CUB,0.0
2035,Cuba,CUB,0.0
2036,Cuba,CUB,0.0
2037,Cuba,CUB,0.0
2038,Cuba,CUB,0.0
2039,Cuba,CUB,0.0
2040,Cuba,CUB,0.0
2041,Cuba,CUB,0.0
2042,Cuba,CUB,0.0
2043,Cuba,CUB,0.0
2044,Cuba,CUB,0.0
2045,Cuba,CUB,0.0
2046,Cuba,CUB,0.0
2047,Cuba,CUB,0.0
2048,Cuba,CUB,0.0
2049,Cuba,CUB,0.0
2050,Cuba,CUB,0.0
2018,Curacao,CUW,0.0
2019,Curacao,CUW,0.0
2020,Curacao,CUW,0.0
2021,Curacao,CUW,0.0
2022,Curacao,CUW,0.0
2023,Curacao,CUW,0.0
2024,Curacao,CUW,0.0
2025,Curacao,CUW,0.0
2026,Curacao,CUW,0.0
2027,Curacao,CUW,0.0
2028,Curacao,CUW,0.0
2029,Curacao,CUW,0.0
2030,Curacao,CUW,0.0
2031,Curacao,CUW,0.0
2032,Curacao,CUW,0.0
2033,Curacao,CUW,0.0
2034,Curacao,CUW,0.0
2035,Curacao,CUW,0.0
2036,Curacao,CUW,0.0
2037,Curacao,CUW,0.0
2038,Curacao,CUW,0.0
2039,Curacao,CUW,0.0
2040,Curacao,CUW,0.0
2041,Curacao,CUW,0.0
2042,Curacao,CUW,0.0
2043,Curacao,CUW,0.0
2044,Curacao,CUW,0.0
2045,Curacao,CUW,0.0
2046,Curacao,CUW,0.0
2047,Curacao,CUW,0.0
2048,Curacao,CUW,0.0
2049,Curacao,CUW,0.0
2050,Curacao,CUW,0.0
2018,Cyprus,CYP,0.0
2019,Cyprus,CYP,0.0
2020,Cyprus,CYP,0.0
2021,Cyprus,CYP,0.0
2022,Cyprus,CYP,0.0
2023,Cyprus,CYP,0.0
2024,Cyprus,CYP,0.0
2025,Cyprus,CYP,0.0
2026,Cyprus,CYP,0.0
2027,Cyprus,CYP,0.0
2028,Cyprus,CYP,0.0
2029,Cyprus,CYP,0.0
2030,Cyprus,CYP,0.0
2031,Cyprus,CYP,0.0
2032,Cyprus,CYP,0.0
2033,Cyprus,CYP,0.0
2034,Cyprus,CYP,0.0
2035,Cyprus,CYP,0.0
2036,Cyprus,CYP,0.0
2037,Cyprus,CYP,0.0
2038,Cyprus,CYP,0.0
2039,Cyprus,CYP,0.0
2040,Cyprus,CYP,0.0
2041,Cyprus,CYP,0.0
2042,Cyprus,CYP,0.0
2043,Cyprus,CYP,0.0
2044,Cyprus,CYP,0.0
2045,Cyprus,CYP,0.0
2046,Cyprus,CYP,0.0
2047,Cyprus,CYP,0.0
2048,Cyprus,CYP,0.0
2049,Cyprus,CYP,0.0
2050,Cyprus,CYP,0.0
2018,Czechia,CZE,0.0
2019,Czechia,CZE,0.0
2020,Czechia,CZE,0.0
2021,Czechia,CZE,0.0
2022,Czechia,CZE,0.0
2023,Czechia,CZE,0.0
2024,Czechia,CZE,0.0
2025,Czechia,CZE,0.0
2026,Czechia,CZE,0.0
2027,Czechia,CZE,0.0
2028,Czechia,CZE,0.0
2029,Czechia,CZE,0.0
2030,Czechia,CZE,0.0
2031,Czechia,CZE,0.0
2032,Czechia,CZE,0.0
2033,Czechia,CZE,0.0
2034,Czechia,CZE,0.0
2035,Czechia,CZE,0.0
2036,Czechia,CZE,0.0
2037,Czechia,CZE,0.0
2038,Czechia,CZE,0.0
2039,Czechia,CZE,0.0
2040,Czechia,CZE,0.0
2041,Czechia,CZE,0.0
2042,Czechia,CZE,0.0
2043,Czechia,CZE,0.0
2044,Czechia,CZE,0.0
2045,Czechia,CZE,0.0
2046,Czechia,CZE,0.0
2047,Czechia,CZE,0.0
2048,Czechia,CZE,0.0
2049,Czechia,CZE,0.0
2050,Czechia,CZE,0.0
2018,Denmark,DNK,79.416
2019,Denmark,DNK,79.416
2020,Denmark,DNK,79.416
2021,Denmark,DNK,79.416
2022,Denmark,DNK,79.416
2023,Denmark,DNK,79.416
2024,Denmark,DNK,79.416
2025,Denmark,DNK,79.416
2026,Denmark,DNK,79.416
2027,Denmark,DNK,79.416
2028,Denmark,DNK,79.416
2029,Denmark,DNK,79.416
2030,Denmark,DNK,79.416
2031,Denmark,DNK,79.416
2032,Denmark,DNK,79.416
2033,Denmark,DNK,79.416
2034,Denmark,DNK,79.416
2035,Denmark,DNK,79.416
2036,Denmark,DNK,79.416
2037,Denmark,DNK,79.416
2038,Denmark,DNK,79.416
2039,Denmark,DNK,79.416
2040,Denmark,DNK,79.416
2041,Denmark,DNK,79.416
2042,Denmark,DNK,79.416
2043,Denmark,DNK,79.416
2044,Denmark,DNK,79.416
2045,Denmark,DNK,79.416
2046,Denmark,DNK,79.416
2047,Denmark,DNK,79.416
2048,Denmark,DNK,79.416
2049,Denmark,DNK,79.416
2050,Denmark,DNK,79.416
2018,Dominica,DMA,0.0
2019,Dominica,DMA,0.0
2020,Dominica,DMA,0.0
2021,Dominica,DMA,0.0
2022,Dominica,DMA,0.0
2023,Dominica,DMA,0.0
2024,Dominica,DMA,0.0
2025,Dominica,DMA,0.0
2026,Dominica,DMA,0.0
2027,Dominica,DMA,0.0
2028,Dominica,DMA,0.0
2029,Dominica,DMA,0.0
2030,Dominica,DMA,0.0
2031,Dominica,DMA,0.0
2032,Dominica,DMA,0.0
2033,Dominica,DMA,0.0
2034,Dominica,DMA,0.0
2035,Dominica,DMA,0.0
2036,Dominica,DMA,0.0
2037,Dominica,DMA,0.0
2038,Dominica,DMA,0.0
2039,Dominica,DMA,0.0
2040,Dominica,DMA,0.0
2041,Dominica,DMA,0.0
2042,Dominica,DMA,0.0
2043,Dominica,DMA,0.0
2044,Dominica,DMA,0.0
2045,Dominica,DMA,0.0
2046,Dominica,DMA,0.0
2047,Dominica,DMA,0.0
2048,Dominica,DMA,0.0
2049,Dominica,DMA,0.0
2050,Dominica,DMA,0.0
2018,Dominican Republic,DOM,0.0
2019,Dominican Republic,DOM,0.0
2020,Dominican Republic,DOM,0.0
2021,Dominican Republic,DOM,0.0
2022,Dominican Republic,DOM,0.0
2023,Dominican Republic,DOM,0.0
2024,Dominican Republic,DOM,0.0
2025,Dominican Republic,DOM,0.0
2026,Dominican Republic,DOM,0.0
2027,Dominican Republic,DOM,0.0
2028,Dominican Republic,DOM,0.0
2029,Dominican Republic,DOM,0.0
2030,Dominican Republic,DOM,0.0
2031,Dominican Republic,DOM,0.0
2032,Dominican Republic,DOM,0.0
2033,Dominican Republic,DOM,0.0
2034,Dominican Republic,DOM,0.0
2035,Dominican Republic,DOM,0.0
2036,Dominican Republic,DOM,0.0
2037,Dominican Republic,DOM,0.0
2038,Dominican Republic,DOM,0.0
2039,Dominican Republic,DOM,0.0
2040,Dominican Republic,DOM,0.0
2041,Dominican Republic,DOM,0.0
2042,Dominican Republic,DOM,0.0
2043,Dominican Republic,DOM,0.0
2044,Dominican Republic,DOM,0.0
2045,Dominican Republic,DOM,0.0
2046,Dominican Republic,DOM,0.0
2047,Dominican Republic,DOM,0.0
2048,Dominican Republic,DOM,0.0
2049,Dominican Republic,DOM,0.0
2050,Dominican Republic,DOM,0.0
2018,Ecuador,ECU,0.0
2019,Ecuador,ECU,0.0
2020,Ecuador,ECU,0.0
2021,Ecuador,ECU,0.0
2022,Ecuador,ECU,0.0
2023,Ecuador,ECU,0.0
2024,Ecuador,ECU,0.0
2025,Ecuador,ECU,0.0
2026,Ecuador,ECU,0.0
2027,Ecuador,ECU,0.0
2028,Ecuador,ECU,0.0
2029,Ecuador,ECU,0.0
2030,Ecuador,ECU,0.0
2031,Ecuador,ECU,0.0
2032,Ecuador,ECU,0.0
2033,Ecuador,ECU,0.0
2034,Ecuador,ECU,0.0
2035,Ecuador,ECU,0.0
2036,Ecuador,ECU,0.0
2037,Ecuador,ECU,0.0
2038,Ecuador,ECU,0.0
2039,Ecuador,ECU,0.0
2040,Ecuador,ECU,0.0
2041,Ecuador,ECU,0.0
2042,Ecuador,ECU,0.0
2043,Ecuador,ECU,0.0
2044,Ecuador,ECU,0.0
2045,Ecuador,ECU,0.0
2046,Ecuador,ECU,0.0
2047,Ecuador,ECU,0.0
2048,Ecuador,ECU,0.0
2049,Ecuador,ECU,0.0
2050,Ecuador,ECU,0.0
2018,"Egypt, Arab Rep.",EGY,10.34
2019,"Egypt, Arab Rep.",EGY,10.34
2020,"Egypt, Arab Rep.",EGY,10.34
2021,"Egypt, Arab Rep.",EGY,10.34
2022,"Egypt, Arab Rep.",EGY,10.34
2023,"Egypt, Arab Rep.",EGY,10.34
2024,"Egypt, Arab Rep.",EGY,10.34
2025,"Egypt, Arab Rep.",EGY,10.34
2026,"Egypt, Arab Rep.",EGY,10.34
2027,"Egypt, Arab Rep.",EGY,10.34
2028,"Egypt, Arab Rep.",EGY,10.34
2029,"Egypt, Arab Rep.",EGY,10.34
2030,"Egypt, Arab Rep.",EGY,10.34
2031,"Egypt, Arab Rep.",EGY,10.34
2032,"Egypt, Arab Rep.",EGY,10.34
2033,"Egypt, Arab Rep.",EGY,10.34
2034,"Egypt, Arab Rep.",EGY,10.34
2035,"Egypt, Arab Rep.",EGY,10.34
2036,"Egypt, Arab Rep.",EGY,10.34
2037,"Egypt, Arab Rep.",EGY,10.34
2038,"Egypt, Arab Rep.",EGY,10.34
2039,"Egypt, Arab Rep.",EGY,10.34
2040,"Egypt, Arab Rep.",EGY,10.34
2041,"Egypt, Arab Rep.",EGY,10.34
2042,"Egypt, Arab Rep.",EGY,10.34
2043,"Egypt, Arab Rep.",EGY,10.34
2044,"Egypt, Arab Rep.",EGY,10.34
2045,"Egypt, Arab Rep.",EGY,10.34
2046,"Egypt, Arab Rep.",EGY,10.34
2047,"Egypt, Arab Rep.",EGY,10.34
2048,"Egypt, Arab Rep.",EGY,10.34
2049,"Egypt, Arab Rep.",EGY,10.34
2050,"Egypt, Arab Rep.",EGY,10.34
2018,El Salvador,SLV,0.0
2019,El Salvador,SLV,0.0
2020,El Salvador,SLV,0.0
2021,El Salvador,SLV,0.0
2022,El Salvador,SLV,0.0
2023,El Salvador,SLV,0.0
2024,El Salvador,SLV,0.0
2025,El Salvador,SLV,0.0
2026,El Salvador,SLV,0.0
2027,El Salvador,SLV,0.0
2028,El Salvador,SLV,0.0
2029,El Salvador,SLV,0.0
2030,El Salvador,SLV,0.0
2031,El Salvador,SLV,0.0
2032,El Salvador,SLV,0.0
2033,El Salvador,SLV,0.0
2034,El Salvador,SLV,0.0
2035,El Salvador,SLV,0.0
2036,El Salvador,SLV,0.0
2037,El Salvador,SLV,0.0
2038,El Salvador,SLV,0.0
2039,El Salvador,SLV,0.0
2040,El Salvador,SLV,0.0
2041,El Salvador,SLV,0.0
2042,El Salvador,SLV,0.0
2043,El Salvador,SLV,0.0
2044,El Salvador,SLV,0.0
2045,El Salvador,SLV,0.0
2046,El Salvador,SLV,0.0
2047,El Salvador,SLV,0.0
2048,El Salvador,SLV,0.0
2049,El Salvador,SLV,0.0
2050,El Salvador,SLV,0.0
2018,Eritrea,ERI,0.0
2019,Eritrea,ERI,0.0
2020,Eritrea,ERI,0.0
2021,Eritrea,ERI,0.0
2022,Eritrea,ERI,0.0
2023,Eritrea,ERI,0.0
2024,Eritrea,ERI,0.0
2025,Eritrea,ERI,0.0
2026,Eritrea,ERI,0.0
2027,Eritrea,ERI,0.0
2028,Eritrea,ERI,0.0
2029,Eritrea,ERI,0.0
2030,Eritrea,ERI,0.0
2031,Eritrea,ERI,0.0
2032,Eritrea,ERI,0.0
2033,Eritrea,ERI,0.0
2034,Eritrea,ERI,0.0
2035,Eritrea,ERI,0.0
2036,Eritrea,ERI,0.0
2037,Eritrea,ERI,0.0
2038,Eritrea,ERI,0.0
2039,Eritrea,ERI,0.0
2040,Eritrea,ERI,0.0
2041,Eritrea,ERI,0.0
2042,Eritrea,ERI,0.0
2043,Eritrea,ERI,0.0
2044,Eritrea,ERI,0.0
2045,Eritrea,ERI,0.0
2046,Eritrea,ERI,0.0
2047,Eritrea,ERI,0.0
2048,Eritrea,ERI,0.0
2049,Eritrea,ERI,0.0
2050,Eritrea,ERI,0.0
2018,Estonia,EST,0.0
2019,Estonia,EST,0.0
2020,Estonia,EST,0.0
2021,Estonia,EST,0.0
2022,Estonia,EST,0.0
2023,Estonia,EST,0.0
2024,Estonia,EST,0.0
2025,Estonia,EST,0.0
2026,Estonia,EST,0.0
2027,Estonia,EST,0.0
2028,Estonia,EST,0.0
2029,Estonia,EST,0.0
2030,Estonia,EST,0.0
2031,Estonia,EST,0.0
2032,Estonia,EST,0.0
2033,Estonia,EST,0.0
2034,Estonia,EST,0.0
2035,Estonia,EST,0.0
2036,Estonia,EST,0.0
2037,Estonia,EST,0.0
2038,Estonia,EST,0.0
2039,Estonia,EST,0.0
2040,Estonia,EST,0.0
2041,Estonia,EST,0.0
2042,Estonia,EST,0.0
2043,Estonia,EST,0.0
2044,Estonia,EST,0.0
2045,Estonia,EST,0.0
2046,Estonia,EST,0.0
2047,Estonia,EST,0.0
2048,Estonia,EST,0.0
2049,Estonia,EST,0.0
2050,Estonia,EST,0.0
2018,Ethiopia,ETH,0.0
2019,Ethiopia,ETH,0.0
2020,Ethiopia,ETH,0.0
2021,Ethiopia,ETH,0.0
2022,Ethiopia,ETH,0.0
2023,Ethiopia,ETH,0.0
2024,Ethiopia,ETH,0.0
2025,Ethiopia,ETH,0.0
2026,Ethiopia,ETH,0.0
2027,Ethiopia,ETH,0.0
2028,Ethiopia,ETH,0.0
2029,Ethiopia,ETH,0.0
2030,Ethiopia,ETH,0.0
2031,Ethiopia,ETH,0.0
2032,Ethiopia,ETH,0.0
2033,Ethiopia,ETH,0.0
2034,Ethiopia,ETH,0.0
2035,Ethiopia,ETH,0.0
2036,Ethiopia,ETH,0.0
2037,Ethiopia,ETH,0.0
2038,Ethiopia,ETH,0.0
2039,Ethiopia,ETH,0.0
2040,Ethiopia,ETH,0.0
2041,Ethiopia,ETH,0.0
2042,Ethiopia,ETH,0.0
2043,Ethiopia,ETH,0.0
2044,Ethiopia,ETH,0.0
2045,Ethiopia,ETH,0.0
2046,Ethiopia,ETH,0.0
2047,Ethiopia,ETH,0.0
2048,Ethiopia,ETH,0.0
2049,Ethiopia,ETH,0.0
2050,Ethiopia,ETH,0.0
2018,Finland,FIN,0.013000000000000001
2019,Finland,FIN,0.013000000000000001
2020,Finland,FIN,0.013000000000000001
2021,Finland,FIN,0.013000000000000001
2022,Finland,FIN,0.013000000000000001
2023,Finland,FIN,0.013000000000000001
2024,Finland,FIN,0.013000000000000001
2025,Finland,FIN,0.013000000000000001
2026,Finland,FIN,0.013000000000000001
2027,Finland,FIN,0.013000000000000001
2028,Finland,FIN,0.013000000000000001
2029,Finland,FIN,0.013000000000000001
2030,Finland,FIN,0.013000000000000001
2031,Finland,FIN,0.013000000000000001
2032,Finland,FIN,0.013000000000000001
2033,Finland,FIN,0.013000000000000001
2034,Finland,FIN,0.013000000000000001
2035,Finland,FIN,0.013000000000000001
2036,Finland,FIN,0.013000000000000001
2037,Finland,FIN,0.013000000000000001
2038,Finland,FIN,0.013000000000000001
2039,Finland,FIN,0.013000000000000001
2040,Finland,FIN,0.013000000000000001
2041,Finland,FIN,0.013000000000000001
