,Nation,iso_code3,Year,nemomod_enst_capital_cost_st_batteries_usd_per_kwh
1987,Europe & Central Asia (excluding high income),ECA,2023,0.07
1988,Europe & Central Asia (excluding high income),ECA,2024,0.07
1989,Europe & Central Asia (excluding high income),ECA,2025,0.07
1990,Europe & Central Asia (excluding high income),ECA,2026,0.07
1991,Europe & Central Asia (excluding high income),ECA,2027,0.07
1992,Europe & Central Asia (excluding high income),ECA,2028,0.07
1993,Europe & Central Asia (excluding high income),ECA,2029,0.07
1994,Europe & Central Asia (excluding high income),ECA,2030,0.07
1995,Europe & Central Asia (excluding high income),ECA,2031,0.07
1996,Europe & Central Asia (excluding high income),ECA,2032,0.07
1997,Europe & Central Asia (excluding high income),ECA,2033,0.07
1998,Europe & Central Asia (excluding high income),ECA,2034,0.07
1999,Europe & Central Asia (excluding high income),ECA,2035,0.07
2000,Europe & Central Asia (excluding high income),ECA,2036,0.07
2001,Europe & Central Asia (excluding high income),ECA,2037,0.07
2002,Europe & Central Asia (excluding high income),ECA,2038,0.07
2003,Europe & Central Asia (excluding high income),ECA,2039,0.07
2004,Europe & Central Asia (excluding high income),ECA,2040,0.07
2005,Europe & Central Asia (excluding high income),ECA,2041,0.07
2006,Europe & Central Asia (excluding high income),ECA,2042,0.07
2007,Europe & Central Asia (excluding high income),ECA,2043,0.07
2008,Europe & Central Asia (excluding high income),ECA,2044,0.07
2009,Europe & Central Asia (excluding high income),ECA,2045,0.07
2010,Europe & Central Asia (excluding high income),ECA,2046,0.07
2011,Europe & Central Asia (excluding high income),ECA,2047,0.07
2012,Europe & Central Asia (excluding high income),ECA,2048,0.07
2013,Europe & Central Asia (excluding high income),ECA,2049,0.07
2014,Europe & Central Asia (excluding high income),ECA,2050,0.07
2015,Europe & Central Asia,ECS,2020,0.07
2016,Europe & Central Asia,ECS,2021,0.07
2017,Europe & Central Asia,ECS,2022,0.07
2018,Europe & Central Asia,ECS,2023,0.07
2019,Europe & Central Asia,ECS,2024,0.07
2020,Europe & Central Asia,ECS,2025,0.07
2021,Europe & Central Asia,ECS,2026,0.07
2022,Europe & Central Asia,ECS,2027,0.07
2023,Europe & Central Asia,ECS,2028,0.07
2024,Europe & Central Asia,ECS,2029,0.07
2025,Europe & Central Asia,ECS,2030,0.07
2026,Europe & Central Asia,ECS,2031,0.07
2027,Europe & Central Asia,ECS,2032,0.07
2028,Europe & Central Asia,ECS,2033,0.07
2029,Europe & Central Asia,ECS,2034,0.07
2030,Europe & Central Asia,ECS,2035,0.07
2031,Europe & Central Asia,ECS,2036,0.07
2032,Europe & Central Asia,ECS,2037,0.07
2033,Europe & Central Asia,ECS,2038,0.07
2034,Europe & Central Asia,ECS,2039,0.07
2035,Europe & Central Asia,ECS,2040,0.07
2036,Europe & Central Asia,ECS,2041,0.07
2037,Europe & Central Asia,ECS,2042,0.07
2038,Europe & Central Asia,ECS,2043,0.07
2039,Europe & Central Asia,ECS,2044,0.07
2040,Europe & Central Asia,ECS,2045,0.07
2041,Europe & Central Asia,ECS,2046,0.07
2042,Europe & Central Asia,ECS,2047,0.07
2043,Europe & Central Asia,ECS,2048,0.07
2044,Europe & Central Asia,ECS,2049,0.07
2045,Europe & Central Asia,ECS,2050,0.07
2046,Ecuador,ECU,2020,0.07
2047,Ecuador,ECU,2021,0.07
2048,Ecuador,ECU,2022,0.07
2049,Ecuador,ECU,2023,0.07
2050,Ecuador,ECU,2024,0.07
2051,Ecuador,ECU,2025,0.07
2052,Ecuador,ECU,2026,0.07
2053,Ecuador,ECU,2027,0.07
2054,Ecuador,ECU,2028,0.07
2055,Ecuador,ECU,2029,0.07
2056,Ecuador,ECU,2030,0.07
2057,Ecuador,ECU,2031,0.07
2058,Ecuador,ECU,2032,0.07
2059,Ecuador,ECU,2033,0.07
2060,Ecuador,ECU,2034,0.07
2061,Ecuador,ECU,2035,0.07
2062,Ecuador,ECU,2036,0.07
2063,Ecuador,ECU,2037,0.07
2064,Ecuador,ECU,2038,0.07
2065,Ecuador,ECU,2039,0.07
2066,Ecuador,ECU,2040,0.07
2067,Ecuador,ECU,2041,0.07
2068,Ecuador,ECU,2042,0.07
2069,Ecuador,ECU,2043,0.07
2070,Ecuador,ECU,2044,0.07
2071,Ecuador,ECU,2045,0.07
2072,Ecuador,ECU,2046,0.07
2073,Ecuador,ECU,2047,0.07
2074,Ecuador,ECU,2048,0.07
2075,Ecuador,ECU,2049,0.07
2076,Ecuador,ECU,2050,0.07
2077,"Egypt, Arab Rep.",EGY,2020,0.07
2078,"Egypt, Arab Rep.",EGY,2021,0.07
2079,"Egypt, Arab Rep.",EGY,2022,0.07
2080,"Egypt, Arab Rep.",EGY,2023,0.07
2081,"Egypt, Arab Rep.",EGY,2024,0.07
2082,"Egypt, Arab Rep.",EGY,2025,0.07
2083,"Egypt, Arab Rep.",EGY,2026,0.07
2084,"Egypt, Arab Rep.",EGY,2027,0.07
2085,"Egypt, Arab Rep.",EGY,2028,0.07
2086,"Egypt, Arab Rep.",EGY,2029,0.07
2087,"Egypt, Arab Rep.",EGY,2030,0.07
2088,"Egypt, Arab Rep.",EGY,2031,0.07
2089,"Egypt, Arab Rep.",EGY,2032,0.07
2090,"Egypt, Arab Rep.",EGY,2033,0.07
2091,"Egypt, Arab Rep.",EGY,2034,0.07
2092,"Egypt, Arab Rep.",EGY,2035,0.07
2093,"Egypt, Arab Rep.",EGY,2036,0.07
2094,"Egypt, Arab Rep.",EGY,2037,0.07
2095,"Egypt, Arab Rep.",EGY,2038,0.07
2096,"Egypt, Arab Rep.",EGY,2039,0.07
2097,"Egypt, Arab Rep.",EGY,2040,0.07
2098,"Egypt, Arab Rep.",EGY,2041,0.07
2099,"Egypt, Arab Rep.",EGY,2042,0.07
2100,"Egypt, Arab Rep.",EGY,2043,0.07
2101,"Egypt, Arab Rep.",EGY,2044,0.07
2102,"Egypt, Arab Rep.",EGY,2045,0.07
2103,"Egypt, Arab Rep.",EGY,2046,0.07
2104,"Egypt, Arab Rep.",EGY,2047,0.07
2105,"Egypt, Arab Rep.",EGY,2048,0.07
2106,"Egypt, Arab Rep.",EGY,2049,0.07
2107,"Egypt, Arab Rep.",EGY,2050,0.07
2108,Euro area,EMU,2020,0.07
2109,Euro area,EMU,2021,0.07
2110,Euro area,EMU,2022,0.07
2111,Euro area,EMU,2023,0.07
2112,Euro area,EMU,2024,0.07
2113,Euro area,EMU,2025,0.07
2114,Euro area,EMU,2026,0.07
2115,Euro area,EMU,2027,0.07
2116,Euro area,EMU,2028,0.07
2117,Euro area,EMU,2029,0.07
2118,Euro area,EMU,2030,0.07
2119,Euro area,EMU,2031,0.07
2120,Euro area,EMU,2032,0.07
2121,Euro area,EMU,2033,0.07
2122,Euro area,EMU,2034,0.07
2123,Euro area,EMU,2035,0.07
2124,Euro area,EMU,2036,0.07
2125,Euro area,EMU,2037,0.07
2126,Euro area,EMU,2038,0.07
2127,Euro area,EMU,2039,0.07
2128,Euro area,EMU,2040,0.07
2129,Euro area,EMU,2041,0.07
2130,Euro area,EMU,2042,0.07
2131,Euro area,EMU,2043,0.07
2132,Euro area,EMU,2044,0.07
2133,Euro area,EMU,2045,0.07
2134,Euro area,EMU,2046,0.07
2135,Euro area,EMU,2047,0.07
2136,Euro area,EMU,2048,0.07
2137,Euro area,EMU,2049,0.07
2138,Euro area,EMU,2050,0.07
2139,Eritrea,ERI,2020,0.07
2140,Eritrea,ERI,2021,0.07
2141,Eritrea,ERI,2022,0.07
2142,Eritrea,ERI,2023,0.07
2143,Eritrea,ERI,2024,0.07
2144,Eritrea,ERI,2025,0.07
2145,Eritrea,ERI,2026,0.07
2146,Eritrea,ERI,2027,0.07
2147,Eritrea,ERI,2028,0.07
2148,Eritrea,ERI,2029,0.07
2149,Eritrea,ERI,2030,0.07
2150,Eritrea,ERI,2031,0.07
2151,Eritrea,ERI,2032,0.07
2152,Eritrea,ERI,2033,0.07
2153,Eritrea,ERI,2034,0.07
2154,Eritrea,ERI,2035,0.07
2155,Eritrea,ERI,2036,0.07
2156,Eritrea,ERI,2037,0.07
2157,Eritrea,ERI,2038,0.07
2158,Eritrea,ERI,2039,0.07
2159,Eritrea,ERI,2040,0.07
2160,Eritrea,ERI,2041,0.07
2161,Eritrea,ERI,2042,0.07
2162,Eritrea,ERI,2043,0.07
2163,Eritrea,ERI,2044,0.07
2164,Eritrea,ERI,2045,0.07
2165,Eritrea,ERI,2046,0.07
2166,Eritrea,ERI,2047,0.07
2167,Eritrea,ERI,2048,0.07
2168,Eritrea,ERI,2049,0.07
2169,Eritrea,ERI,2050,0.07
2170,Spain,ESP,2020,0.07
2171,Spain,ESP,2021,0.07
2172,Spain,ESP,2022,0.07
2173,Spain,ESP,2023,0.07
2174,Spain,ESP,2024,0.07
2175,Spain,ESP,2025,0.07
2176,Spain,ESP,2026,0.07
2177,Spain,ESP,2027,0.07
2178,Spain,ESP,2028,0.07
2179,Spain,ESP,2029,0.07
2180,Spain,ESP,2030,0.07
2181,Spain,ESP,2031,0.07
2182,Spain,ESP,2032,0.07
2183,Spain,ESP,2033,0.07
2184,Spain,ESP,2034,0.07
2185,Spain,ESP,2035,0.07
2186,Spain,ESP,2036,0.07
2187,Spain,ESP,2037,0.07
2188,Spain,ESP,2038,0.07
2189,Spain,ESP,2039,0.07
2190,Spain,ESP,2040,0.07
2191,Spain,ESP,2041,0.07
2192,Spain,ESP,2042,0.07
2193,Spain,ESP,2043,0.07
2194,Spain,ESP,2044,0.07
2195,Spain,ESP,2045,0.07
2196,Spain,ESP,2046,0.07
2197,Spain,ESP,2047,0.07
2198,Spain,ESP,2048,0.07
2199,Spain,ESP,2049,0.07
2200,Spain,ESP,2050,0.07
2201,Estonia,EST,2020,0.07
2202,Estonia,EST,2021,0.07
2203,Estonia,EST,2022,0.07
2204,Estonia,EST,2023,0.07
2205,Estonia,EST,2024,0.07
2206,Estonia,EST,2025,0.07
2207,Estonia,EST,2026,0.07
2208,Estonia,EST,2027,0.07
2209,Estonia,EST,2028,0.07
2210,Estonia,EST,2029,0.07
2211,Estonia,EST,2030,0.07
2212,Estonia,EST,2031,0.07
2213,Estonia,EST,2032,0.07
2214,Estonia,EST,2033,0.07
2215,Estonia,EST,2034,0.07
2216,Estonia,EST,2035,0.07
2217,Estonia,EST,2036,0.07
2218,Estonia,EST,2037,0.07
2219,Estonia,EST,2038,0.07
2220,Estonia,EST,2039,0.07
2221,Estonia,EST,2040,0.07
2222,Estonia,EST,2041,0.07
2223,Estonia,EST,2042,0.07
2224,Estonia,EST,2043,0.07
2225,Estonia,EST,2044,0.07
2226,Estonia,EST,2045,0.07
2227,Estonia,EST,2046,0.07
2228,Estonia,EST,2047,0.07
2229,Estonia,EST,2048,0.07
2230,Estonia,EST,2049,0.07
2231,Estonia,EST,2050,0.07
2232,Ethiopia,ETH,2020,0.07
2233,Ethiopia,ETH,2021,0.07
2234,Ethiopia,ETH,2022,0.07
2235,Ethiopia,ETH,2023,0.07
2236,Ethiopia,ETH,2024,0.07
2237,Ethiopia,ETH,2025,0.07
2238,Ethiopia,ETH,2026,0.07
2239,Ethiopia,ETH,2027,0.07
2240,Ethiopia,ETH,2028,0.07
2241,Ethiopia,ETH,2029,0.07
2242,Ethiopia,ETH,2030,0.07
2243,Ethiopia,ETH,2031,0.07
2244,Ethiopia,ETH,2032,0.07
2245,Ethiopia,ETH,2033,0.07
2246,Ethiopia,ETH,2034,0.07
2247,Ethiopia,ETH,2035,0.07
2248,Ethiopia,ETH,2036,0.07
2249,Ethiopia,ETH,2037,0.07
2250,Ethiopia,ETH,2038,0.07
2251,Ethiopia,ETH,2039,0.07
2252,Ethiopia,ETH,2040,0.07
2253,Ethiopia,ETH,2041,0.07
2254,Ethiopia,ETH,2042,0.07
2255,Ethiopia,ETH,2043,0.07
2256,Ethiopia,ETH,2044,0.07
2257,Ethiopia,ETH,2045,0.07
2258,Ethiopia,ETH,2046,0.07
2259,Ethiopia,ETH,2047,0.07
2260,Ethiopia,ETH,2048,0.07
2261,Ethiopia,ETH,2049,0.07
2262,Ethiopia,ETH,2050,0.07
2263,European Union,EUU,2020,0.07
2264,European Union,EUU,2021,0.07
2265,European Union,EUU,2022,0.07
2266,European Union,EUU,2023,0.07
2267,European Union,EUU,2024,0.07
2268,European Union,EUU,2025,0.07
2269,European Union,EUU,2026,0.07
2270,European Union,EUU,2027,0.07
2271,European Union,EUU,2028,0.07
2272,European Union,EUU,2029,0.07
2273,European Union,EUU,2030,0.07
2274,European Union,EUU,2031,0.07
2275,European Union,EUU,2032,0.07
2276,European Union,EUU,2033,0.07
2277,European Union,EUU,2034,0.07
2278,European Union,EUU,2035,0.07
2279,European Union,EUU,2036,0.07
2280,European Union,EUU,2037,0.07
2281,European Union,EUU,2038,0.07
2282,European Union,EUU,2039,0.07
2283,European Union,EUU,2040,0.07
2284,European Union,EUU,2041,0.07
2285,European Union,EUU,2042,0.07
2286,European Union,EUU,2043,0.07
2287,European Union,EUU,2044,0.07
2288,European Union,EUU,2045,0.07
2289,European Union,EUU,2046,0.07
2290,European Union,EUU,2047,0.07
2291,European Union,EUU,2048,0.07
2292,European Union,EUU,2049,0.07
2293,European Union,EUU,2050,0.07
2294,Fragile and conflict affected situations,FCS,2020,0.07
2295,Fragile and conflict affected situations,FCS,2021,0.07
2296,Fragile and conflict affected situations,FCS,2022,0.07
2297,Fragile and conflict affected situations,FCS,2023,0.07
2298,Fragile and conflict affected situations,FCS,2024,0.07
2299,Fragile and conflict affected situations,FCS,2025,0.07
2300,Fragile and conflict affected situations,FCS,2026,0.07
2301,Fragile and conflict affected situations,FCS,2027,0.07
2302,Fragile and conflict affected situations,FCS,2028,0.07
2303,Fragile and conflict affected situations,FCS,2029,0.07
2304,Fragile and conflict affected situations,FCS,2030,0.07
2305,Fragile and conflict affected situations,FCS,2031,0.07
2306,Fragile and conflict affected situations,FCS,2032,0.07
2307,Fragile and conflict affected situations,FCS,2033,0.07
2308,Fragile and conflict affected situations,FCS,2034,0.07
2309,Fragile and conflict affected situations,FCS,2035,0.07
2310,Fragile and conflict affected situations,FCS,2036,0.07
2311,Fragile and conflict affected situations,FCS,2037,0.07
2312,Fragile and conflict affected situations,FCS,2038,0.07
2313,Fragile and conflict affected situations,FCS,2039,0.07
2314,Fragile and conflict affected situations,FCS,2040,0.07
2315,Fragile and conflict affected situations,FCS,2041,0.07
2316,Fragile and conflict affected situations,FCS,2042,0.07
2317,Fragile and conflict affected situations,FCS,2043,0.07
2318,Fragile and conflict affected situations,FCS,2044,0.07
2319,Fragile and conflict affected situations,FCS,2045,0.07
2320,Fragile and conflict affected situations,FCS,2046,0.07
2321,Fragile and conflict affected situations,FCS,2047,0.07
2322,Fragile and conflict affected situations,FCS,2048,0.07
2323,Fragile and conflict affected situations,FCS,2049,0.07
2324,Fragile and conflict affected situations,FCS,2050,0.07
2325,Finland,FIN,2020,0.07
2326,Finland,FIN,2021,0.07
2327,Finland,FIN,2022,0.07
2328,Finland,FIN,2023,0.07
2329,Finland,FIN,2024,0.07
2330,Finland,FIN,2025,0.07
2331,Finland,FIN,2026,0.07
2332,Finland,FIN,2027,0.07
2333,Finland,FIN,2028,0.07
2334,Finland,FIN,2029,0.07
2335,Finland,FIN,2030,0.07
2336,Finland,FIN,2031,0.07
2337,Finland,FIN,2032,0.07
2338,Finland,FIN,2033,0.07
2339,Finland,FIN,2034,0.07
2340,Finland,FIN,2035,0.07
2341,Finland,FIN,2036,0.07
2342,Finland,FIN,2037,0.07
2343,Finland,FIN,2038,0.07
2344,Finland,FIN,2039,0.07
2345,Finland,FIN,2040,0.07
2346,Finland,FIN,2041,0.07
2347,Finland,FIN,2042,0.07
2348,Finland,FIN,2043,0.07
2349,Finland,FIN,2044,0.07
2350,Finland,FIN,2045,0.07
2351,Finland,FIN,2046,0.07
2352,Finland,FIN,2047,0.07
2353,Finland,FIN,2048,0.07
2354,Finland,FIN,2049,0.07
2355,Finland,FIN,2050,0.07
2356,Fiji,FJI,2020,0.07
2357,Fiji,FJI,2021,0.07
2358,Fiji,FJI,2022,0.07
2359,Fiji,FJI,2023,0.07
2360,Fiji,FJI,2024,0.07
2361,Fiji,FJI,2025,0.07
2362,Fiji,FJI,2026,0.07
2363,Fiji,FJI,2027,0.07
2364,Fiji,FJI,2028,0.07
2365,Fiji,FJI,2029,0.07
2366,Fiji,FJI,2030,0.07
2367,Fiji,FJI,2031,0.07
2368,Fiji,FJI,2032,0.07
2369,Fiji,FJI,2033,0.07
2370,Fiji,FJI,2034,0.07
2371,Fiji,FJI,2035,0.07
2372,Fiji,FJI,2036,0.07
2373,Fiji,FJI,2037,0.07
2374,Fiji,FJI,2038,0.07
2375,Fiji,FJI,2039,0.07
2376,Fiji,FJI,2040,0.07
2377,Fiji,FJI,2041,0.07
2378,Fiji,FJI,2042,0.07
2379,Fiji,FJI,2043,0.07
2380,Fiji,FJI,2044,0.07
2381,Fiji,FJI,2045,0.07
2382,Fiji,FJI,2046,0.07
2383,Fiji,FJI,2047,0.07
2384,Fiji,FJI,2048,0.07
2385,Fiji,FJI,2049,0.07
2386,Fiji,FJI,2050,0.07
2387,France,FRA,2020,0.07
2388,France,FRA,2021,0.07
2389,France,FRA,2022,0.07
2390,France,FRA,2023,0.07
2391,France,FRA,2024,0.07
2392,France,FRA,2025,0.07
2393,France,FRA,2026,0.07
2394,France,FRA,2027,0.07
2395,France,FRA,2028,0.07
2396,France,FRA,2029,0.07
2397,France,FRA,2030,0.07
2398,France,FRA,2031,0.07
2399,France,FRA,2032,0.07
2400,France,FRA,2033,0.07
2401,France,FRA,2034,0.07
2402,France,FRA,2035,0.07
2403,France,FRA,2036,0.07
2404,France,FRA,2037,0.07
2405,France,FRA,2038,0.07
2406,France,FRA,2039,0.07
2407,France,FRA,2040,0.07
2408,France,FRA,2041,0.07
2409,France,FRA,2042,0.07
2410,France,FRA,2043,0.07
2411,France,FRA,2044,0.07
2412,France,FRA,2045,0.07
2413,France,FRA,2046,0.07
2414,France,FRA,2047,0.07
2415,France,FRA,2048,0.07
2416,France,FRA,2049,0.07
2417,France,FRA,2050,0.07
2418,Faroe Islands,FRO,2020,0.07
2419,Faroe Islands,FRO,2021,0.07
2420,Faroe Islands,FRO,2022,0.07
2421,Faroe Islands,FRO,2023,0.07
2422,Faroe Islands,FRO,2024,0.07
2423,Faroe Islands,FRO,2025,0.07
2424,Faroe Islands,FRO,2026,0.07
2425,Faroe Islands,FRO,2027,0.07
2426,Faroe Islands,FRO,2028,0.07
2427,Faroe Islands,FRO,2029,0.07
2428,Faroe Islands,FRO,2030,0.07
2429,Faroe Islands,FRO,2031,0.07
2430,Faroe Islands,FRO,2032,0.07
2431,Faroe Islands,FRO,2033,0.07
2432,Faroe Islands,FRO,2034,0.07
2433,Faroe Islands,FRO,2035,0.07
2434,Faroe Islands,FRO,2036,0.07
2435,Faroe Islands,FRO,2037,0.07
2436,Faroe Islands,FRO,2038,0.07
2437,Faroe Islands,FRO,2039,0.07
2438,Faroe Islands,FRO,2040,0.07
2439,Faroe Islands,FRO,2041,0.07
2440,Faroe Islands,FRO,2042,0.07
2441,Faroe Islands,FRO,2043,0.07
2442,Faroe Islands,FRO,2044,0.07
2443,Faroe Islands,FRO,2045,0.07
2444,Faroe Islands,FRO,2046,0.07
2445,Faroe Islands,FRO,2047,0.07
2446,Faroe Islands,FRO,2048,0.07
2447,Faroe Islands,FRO,2049,0.07
2448,Faroe Islands,FRO,2050,0.07
2449,"Micronesia, Fed. Sts.",FSM,2020,0.07
2450,"Micronesia, Fed. Sts.",FSM,2021,0.07
2451,"Micronesia, Fed. Sts.",FSM,2022,0.07
2452,"Micronesia, Fed. Sts.",FSM,2023,0.07
2453,"Micronesia, Fed. Sts.",FSM,2024,0.07
2454,"Micronesia, Fed. Sts.",FSM,2025,0.07
2455,"Micronesia, Fed. Sts.",FSM,2026,0.07
2456,"Micronesia, Fed. Sts.",FSM,2027,0.07
2457,"Micronesia, Fed. Sts.",FSM,2028,0.07
2458,"Micronesia, Fed. Sts.",FSM,2029,0.07
2459,"Micronesia, Fed. Sts.",FSM,2030,0.07
2460,"Micronesia, Fed. Sts.",FSM,2031,0.07
2461,"Micronesia, Fed. Sts.",FSM,2032,0.07
2462,"Micronesia, Fed. Sts.",FSM,2033,0.07
2463,"Micronesia, Fed. Sts.",FSM,2034,0.07
2464,"Micronesia, Fed. Sts.",FSM,2035,0.07
2465,"Micronesia, Fed. Sts.",FSM,2036,0.07
2466,"Micronesia, Fed. Sts.",FSM,2037,0.07
2467,"Micronesia, Fed. Sts.",FSM,2038,0.07
2468,"Micronesia, Fed. Sts.",FSM,2039,0.07
2469,"Micronesia, Fed. Sts.",FSM,2040,0.07
2470,"Micronesia, Fed. Sts.",FSM,2041,0.07
2471,"Micronesia, Fed. Sts.",FSM,2042,0.07
2472,"Micronesia, Fed. Sts.",FSM,2043,0.07
2473,"Micronesia, Fed. Sts.",FSM,2044,0.07
2474,"Micronesia, Fed. Sts.",FSM,2045,0.07
2475,"Micronesia, Fed. Sts.",FSM,2046,0.07
2476,"Micronesia, Fed. Sts.",FSM,2047,0.07
2477,"Micronesia, Fed. Sts.",FSM,2048,0.07
2478,"Micronesia, Fed. Sts.",FSM,2049,0.07
2479,"Micronesia, Fed. Sts.",FSM,2050,0.07
2480,Gabon,GAB,2020,0.07
2481,Gabon,GAB,2021,0.07
2482,Gabon,GAB,2022,0.07
2483,Gabon,GAB,2023,0.07
2484,Gabon,GAB,2024,0.07
2485,Gabon,GAB,2025,0.07
2486,Gabon,GAB,2026,0.07
2487,Gabon,GAB,2027,0.07
2488,Gabon,GAB,2028,0.07
2489,Gabon,GAB,2029,0.07
2490,Gabon,GAB,2030,0.07
2491,Gabon,GAB,2031,0.07
2492,Gabon,GAB,2032,0.07
2493,Gabon,GAB,2033,0.07
2494,Gabon,GAB,2034,0.07
2495,Gabon,GAB,2035,0.07
2496,Gabon,GAB,2036,0.07
2497,Gabon,GAB,2037,0.07
2498,Gabon,GAB,2038,0.07
2499,Gabon,GAB,2039,0.07
2500,Gabon,GAB,2040,0.07
2501,Gabon,GAB,2041,0.07
2502,Gabon,GAB,2042,0.07
2503,Gabon,GAB,2043,0.07
2504,Gabon,GAB,2044,0.07
2505,Gabon,GAB,2045,0.07
2506,Gabon,GAB,2046,0.07
2507,Gabon,GAB,2047,0.07
2508,Gabon,GAB,2048,0.07
2509,Gabon,GAB,2049,0.07
2510,Gabon,GAB,2050,0.07
2511,United Kingdom,GBR,2020,0.07
2512,United Kingdom,GBR,2021,0.07
2513,United Kingdom,GBR,2022,0.07
2514,United Kingdom,GBR,2023,0.07
2515,United Kingdom,GBR,2024,0.07
2516,United Kingdom,GBR,2025,0.07
2517,United Kingdom,GBR,2026,0.07
2518,United Kingdom,GBR,2027,0.07
2519,United Kingdom,GBR,2028,0.07
2520,United Kingdom,GBR,2029,0.07
2521,United Kingdom,GBR,2030,0.07
2522,United Kingdom,GBR,2031,0.07
2523,United Kingdom,GBR,2032,0.07
2524,United Kingdom,GBR,2033,0.07
2525,United Kingdom,GBR,2034,0.07
2526,United Kingdom,GBR,2035,0.07
2527,United Kingdom,GBR,2036,0.07
2528,United Kingdom,GBR,2037,0.07
2529,United Kingdom,GBR,2038,0.07
2530,United Kingdom,GBR,2039,0.07
2531,United Kingdom,GBR,2040,0.07
2532,United Kingdom,GBR,2041,0.07
2533,United Kingdom,GBR,2042,0.07
2534,United Kingdom,GBR,2043,0.07
2535,United Kingdom,GBR,2044,0.07
2536,United Kingdom,GBR,2045,0.07
2537,United Kingdom,GBR,2046,0.07
2538,United Kingdom,GBR,2047,0.07
2539,United Kingdom,GBR,2048,0.07
2540,United Kingdom,GBR,2049,0.07
2541,United Kingdom,GBR,2050,0.07
2542,Georgia,GEO,2020,0.07
2543,Georgia,GEO,2021,0.07
2544,Georgia,GEO,2022,0.07
2545,Georgia,GEO,2023,0.07
2546,Georgia,GEO,2024,0.07
2547,Georgia,GEO,2025,0.07
2548,Georgia,GEO,2026,0.07
2549,Georgia,GEO,2027,0.07
2550,Georgia,GEO,2028,0.07
2551,Georgia,GEO,2029,0.07
2552,Georgia,GEO,2030,0.07
2553,Georgia,GEO,2031,0.07
2554,Georgia,GEO,2032,0.07
2555,Georgia,GEO,2033,0.07
2556,Georgia,GEO,2034,0.07
2557,Georgia,GEO,2035,0.07
2558,Georgia,GEO,2036,0.07
2559,Georgia,GEO,2037,0.07
2560,Georgia,GEO,2038,0.07
2561,Georgia,GEO,2039,0.07
2562,Georgia,GEO,2040,0.07
2563,Georgia,GEO,2041,0.07
2564,Georgia,GEO,2042,0.07
2565,Georgia,GEO,2043,0.07
2566,Georgia,GEO,2044,0.07
2567,Georgia,GEO,2045,0.07
2568,Georgia,GEO,2046,0.07
2569,Georgia,GEO,2047,0.07
2570,Georgia,GEO,2048,0.07
2571,Georgia,GEO,2049,0.07
2572,Georgia,GEO,2050,0.07
2573,Ghana,GHA,2020,0.07
2574,Ghana,GHA,2021,0.07
2575,Ghana,GHA,2022,0.07
2576,Ghana,GHA,2023,0.07
2577,Ghana,GHA,2024,0.07
2578,Ghana,GHA,2025,0.07
2579,Ghana,GHA,2026,0.07
2580,Ghana,GHA,2027,0.07
2581,Ghana,GHA,2028,0.07
2582,Ghana,GHA,2029,0.07
2583,Ghana,GHA,2030,0.07
2584,Ghana,GHA,2031,0.07
2585,Ghana,GHA,2032,0.07
2586,Ghana,GHA,2033,0.07
2587,Ghana,GHA,2034,0.07
2588,Ghana,GHA,2035,0.07
2589,Ghana,GHA,2036,0.07
2590,Ghana,GHA,2037,0.07
2591,Ghana,GHA,2038,0.07
2592,Ghana,GHA,2039,0.07
2593,Ghana,GHA,2040,0.07
2594,Ghana,GHA,2041,0.07
2595,Ghana,GHA,2042,0.07
2596,Ghana,GHA,2043,0.07
2597,Ghana,GHA,2044,0.07
2598,Ghana,GHA,2045,0.07
2599,Ghana,GHA,2046,0.07
2600,Ghana,GHA,2047,0.07
2601,Ghana,GHA,2048,0.07
2602,Ghana,GHA,2049,0.07
2603,Ghana,GHA,2050,0.07
2604,Gibraltar,GIB,2020,0.07
2605,Gibraltar,GIB,2021,0.07
2606,Gibraltar,GIB,2022,0.07
2607,Gibraltar,GIB,2023,0.07
2608,Gibraltar,GIB,2024,0.07
2609,Gibraltar,GIB,2025,0.07
2610,Gibraltar,GIB,2026,0.07
2611,Gibraltar,GIB,2027,0.07
2612,Gibraltar,GIB,2028,0.07
2613,Gibraltar,GIB,2029,0.07
2614,Gibraltar,GIB,2030,0.07
2615,Gibraltar,GIB,2031,0.07
2616,Gibraltar,GIB,2032,0.07
2617,Gibraltar,GIB,2033,0.07
2618,Gibraltar,GIB,2034,0.07
2619,Gibraltar,GIB,2035,0.07
2620,Gibraltar,GIB,2036,0.07
2621,Gibraltar,GIB,2037,0.07
2622,Gibraltar,GIB,2038,0.07
2623,Gibraltar,GIB,2039,0.07
2624,Gibraltar,GIB,2040,0.07
2625,Gibraltar,GIB,2041,0.07
2626,Gibraltar,GIB,2042,0.07
2627,Gibraltar,GIB,2043,0.07
2628,Gibraltar,GIB,2044,0.07
2629,Gibraltar,GIB,2045,0.07
2630,Gibraltar,GIB,2046,0.07
2631,Gibraltar,GIB,2047,0.07
2632,Gibraltar,GIB,2048,0.07
2633,Gibraltar,GIB,2049,0.07
2634,Gibraltar,GIB,2050,0.07
2635,Guinea,GIN,2020,0.07
2636,Guinea,GIN,2021,0.07
2637,Guinea,GIN,2022,0.07
2638,Guinea,GIN,2023,0.07
2639,Guinea,GIN,2024,0.07
2640,Guinea,GIN,2025,0.07
2641,Guinea,GIN,2026,0.07
2642,Guinea,GIN,2027,0.07
2643,Guinea,GIN,2028,0.07
2644,Guinea,GIN,2029,0.07
