Year,Nation,iso_code3,pij_lndu_croplands_to_other
2033,Burundi,BDI,0.0007194454083371634
2034,Burundi,BDI,0.0007644107463582363
2035,Burundi,BDI,0.000809376084379309
2036,Burundi,BDI,0.0008543414224003817
2037,Burundi,BDI,0.0008993067604214543
2038,Burundi,BDI,0.0009442720984425274
2039,Burundi,BDI,0.0009892374364636
2040,Burundi,BDI,0.0010342027744846727
2041,Burundi,BDI,0.0010791681125057453
2042,Burundi,BDI,0.001124133450526818
2043,Burundi,BDI,0.0011690987885478908
2044,Burundi,BDI,0.0012140641265689634
2045,Burundi,BDI,0.0012590294645900364
2046,Burundi,BDI,0.0013039948026111088
2047,Burundi,BDI,0.0013489601406321814
2048,Burundi,BDI,0.0013939254786532545
2049,Burundi,BDI,0.0014388908166743269
2050,Burundi,BDI,0.0014838561546954
2021,Cabo Verde,CPV,0.003002241547821064
2022,Cabo Verde,CPV,0.0031278019347763548
2023,Cabo Verde,CPV,0.003253362321731645
2024,Cabo Verde,CPV,0.0033789227086869363
2025,Cabo Verde,CPV,0.003504483095642227
2026,Cabo Verde,CPV,0.003630043482597518
2027,Cabo Verde,CPV,0.0037556038695528093
2028,Cabo Verde,CPV,0.0038811642565081
2029,Cabo Verde,CPV,0.004006724643463391
2030,Cabo Verde,CPV,0.004132285030418682
2031,Cabo Verde,CPV,0.004257845417373973
2032,Cabo Verde,CPV,0.004383405804329263
2033,Cabo Verde,CPV,0.004508966191284554
2034,Cabo Verde,CPV,0.004634526578239846
2035,Cabo Verde,CPV,0.004760086965195136
2036,Cabo Verde,CPV,0.004885647352150428
2037,Cabo Verde,CPV,0.005011207739105718
2038,Cabo Verde,CPV,0.00513676812606101
2039,Cabo Verde,CPV,0.0052623285130163
2040,Cabo Verde,CPV,0.005387888899971591
2041,Cabo Verde,CPV,0.005513449286926882
2042,Cabo Verde,CPV,0.005639009673882173
2043,Cabo Verde,CPV,0.005764570060837464
2044,Cabo Verde,CPV,0.005890130447792755
2045,Cabo Verde,CPV,0.0060156908347480465
2046,Cabo Verde,CPV,0.006141251221703337
2047,Cabo Verde,CPV,0.006266811608658628
2048,Cabo Verde,CPV,0.006392371995613918
2049,Cabo Verde,CPV,0.0065179323825692095
2050,Cabo Verde,CPV,0.0066434927695245
2021,Cambodia,KHM,1.2411742041921603e-20
2022,Cambodia,KHM,1.5514677552402007e-20
2023,Cambodia,KHM,1.8617613062882405e-20
2024,Cambodia,KHM,2.172054857336281e-20
2025,Cambodia,KHM,2.4823484083843207e-20
2026,Cambodia,KHM,2.7926419594323604e-20
2027,Cambodia,KHM,3.1029355104804014e-20
2028,Cambodia,KHM,3.413229061528441e-20
2029,Cambodia,KHM,3.723522612576481e-20
2030,Cambodia,KHM,4.0338161636245214e-20
2031,Cambodia,KHM,4.344109714672562e-20
2032,Cambodia,KHM,4.6544032657206015e-20
2033,Cambodia,KHM,4.9646968167686413e-20
2034,Cambodia,KHM,5.274990367816681e-20
2035,Cambodia,KHM,5.585283918864721e-20
2036,Cambodia,KHM,5.895577469912762e-20
2037,Cambodia,KHM,6.205871020960803e-20
2038,Cambodia,KHM,6.516164572008842e-20
2039,Cambodia,KHM,6.826458123056882e-20
2040,Cambodia,KHM,7.136751674104923e-20
2041,Cambodia,KHM,7.447045225152962e-20
2042,Cambodia,KHM,7.757338776201004e-20
2043,Cambodia,KHM,8.067632327249043e-20
2044,Cambodia,KHM,8.377925878297082e-20
2045,Cambodia,KHM,8.688219429345121e-20
2046,Cambodia,KHM,8.998512980393164e-20
2047,Cambodia,KHM,9.308806531441203e-20
2048,Cambodia,KHM,9.619100082489243e-20
2049,Cambodia,KHM,9.929393633537283e-20
2050,Cambodia,KHM,1.0239687184585324e-19
2021,Cameroon,CMR,8.180783595399999e-05
2022,Cameroon,CMR,0.00010225979494249998
2023,Cameroon,CMR,0.000122711753931
2024,Cameroon,CMR,0.0001431637129195
2025,Cameroon,CMR,0.00016361567190799998
2026,Cameroon,CMR,0.0001840676308965
2027,Cameroon,CMR,0.000204519589885
2028,Cameroon,CMR,0.0002249715488735
2029,Cameroon,CMR,0.000245423507862
2030,Cameroon,CMR,0.0002658754668505
2031,Cameroon,CMR,0.000286327425839
2032,Cameroon,CMR,0.0003067793848275
2033,Cameroon,CMR,0.000327231343816
2034,Cameroon,CMR,0.00034768330280449995
2035,Cameroon,CMR,0.000368135261793
2036,Cameroon,CMR,0.0003885872207814999
2037,Cameroon,CMR,0.00040903917976999987
2038,Cameroon,CMR,0.0004294911387585
2039,Cameroon,CMR,0.000449943097747
2040,Cameroon,CMR,0.0004703950567355
2041,Cameroon,CMR,0.000490847015724
2042,Cameroon,CMR,0.0005112989747124999
2043,Cameroon,CMR,0.000531750933701
2044,Cameroon,CMR,0.0005522028926894999
2045,Cameroon,CMR,0.000572654851678
2046,Cameroon,CMR,0.0005931068106664999
2047,Cameroon,CMR,0.0006135587696549999
2048,Cameroon,CMR,0.0006340107286434999
2049,Cameroon,CMR,0.0006544626876319999
2050,Cameroon,CMR,0.0006749146466205
2021,Canada,CAN,0.00044545960178803633
2022,Canada,CAN,0.0005568245022350455
2023,Canada,CAN,0.0006681894026820545
2024,Canada,CAN,0.0007795543031290635
2025,Canada,CAN,0.0008909192035760727
2026,Canada,CAN,0.0010022841040230818
2027,Canada,CAN,0.001113649004470091
2028,Canada,CAN,0.0012250139049171
2029,Canada,CAN,0.001336378805364109
2030,Canada,CAN,0.001447743705811118
2031,Canada,CAN,0.001559108606258127
2032,Canada,CAN,0.0016704735067051364
2033,Canada,CAN,0.0017818384071521453
2034,Canada,CAN,0.0018932033075991547
2035,Canada,CAN,0.002004568208046164
2036,Canada,CAN,0.0021159331084931727
2037,Canada,CAN,0.002227298008940182
2038,Canada,CAN,0.0023386629093871906
2039,Canada,CAN,0.0024500278098342
2040,Canada,CAN,0.002561392710281209
2041,Canada,CAN,0.002672757610728218
2042,Canada,CAN,0.002784122511175227
2043,Canada,CAN,0.0028954874116222363
2044,Canada,CAN,0.003006852312069245
2045,Canada,CAN,0.003118217212516254
2046,Canada,CAN,0.003229582112963263
2047,Canada,CAN,0.003340947013410273
2048,Canada,CAN,0.0034523119138572807
2049,Canada,CAN,0.0035636768143042907
2050,Canada,CAN,0.0036750417147513
2021,Cayman Islands,CYM,3.4156034626707727e-16
2022,Cayman Islands,CYM,3.4156034626707727e-16
2023,Cayman Islands,CYM,3.4156034626707727e-16
2024,Cayman Islands,CYM,3.4156034626707727e-16
2025,Cayman Islands,CYM,3.4156034626707727e-16
2026,Cayman Islands,CYM,3.4156034626707727e-16
2027,Cayman Islands,CYM,3.4156034626707727e-16
2028,Cayman Islands,CYM,3.4156034626707727e-16
2029,Cayman Islands,CYM,3.4156034626707727e-16
2030,Cayman Islands,CYM,3.4156034626707727e-16
2031,Cayman Islands,CYM,3.4156034626707727e-16
2032,Cayman Islands,CYM,3.4156034626707727e-16
2033,Cayman Islands,CYM,3.4156034626707727e-16
2034,Cayman Islands,CYM,3.415603462670773e-16
2035,Cayman Islands,CYM,3.415603462670773e-16
2036,Cayman Islands,CYM,3.415603462670773e-16
2037,Cayman Islands,CYM,3.415603462670773e-16
2038,Cayman Islands,CYM,3.415603462670773e-16
2039,Cayman Islands,CYM,3.415603462670773e-16
2040,Cayman Islands,CYM,3.415603462670773e-16
2041,Cayman Islands,CYM,3.415603462670773e-16
2042,Cayman Islands,CYM,3.415603462670773e-16
2043,Cayman Islands,CYM,3.415603462670773e-16
2044,Cayman Islands,CYM,3.415603462670773e-16
2045,Cayman Islands,CYM,3.415603462670773e-16
2046,Cayman Islands,CYM,3.415603462670773e-16
2047,Cayman Islands,CYM,3.415603462670773e-16
2048,Cayman Islands,CYM,3.415603462670773e-16
2049,Cayman Islands,CYM,3.415603462670773e-16
2050,Cayman Islands,CYM,3.415603462670773e-16
2021,Central African Republic,CAF,0.00020202020202019397
2022,Central African Republic,CAF,0.00025252525252524244
2023,Central African Republic,CAF,0.0003030303030302909
2024,Central African Republic,CAF,0.00035353535353533933
2025,Central African Republic,CAF,0.0004040404040403879
2026,Central African Republic,CAF,0.00045454545454543633
2027,Central African Republic,CAF,0.0005050505050504849
2028,Central African Republic,CAF,0.0005555555555555333
2029,Central African Republic,CAF,0.0006060606060605818
2030,Central African Republic,CAF,0.0006565656565656303
2031,Central African Republic,CAF,0.0007070707070706787
2032,Central African Republic,CAF,0.0007575757575757272
2033,Central African Republic,CAF,0.0008080808080807758
2034,Central African Republic,CAF,0.0008585858585858242
2035,Central African Republic,CAF,0.0009090909090908727
2036,Central African Republic,CAF,0.0009595959595959213
2037,Central African Republic,CAF,0.0010101010101009698
2038,Central African Republic,CAF,0.0010606060606060182
2039,Central African Republic,CAF,0.0011111111111110669
2040,Central African Republic,CAF,0.001161616161616115
2041,Central African Republic,CAF,0.0012121212121211635
2042,Central African Republic,CAF,0.0012626262626262122
2043,Central African Republic,CAF,0.0013131313131312607
2044,Central African Republic,CAF,0.0013636363636363089
2045,Central African Republic,CAF,0.0014141414141413573
2046,Central African Republic,CAF,0.001464646464646406
2047,Central African Republic,CAF,0.0015151515151514547
2048,Central African Republic,CAF,0.0015656565656565029
2049,Central African Republic,CAF,0.0016161616161615515
2050,Central African Republic,CAF,0.0016666666666666
2021,Chad,TCD,0.0009185289695044695
2022,Chad,TCD,0.001021668514285912
2023,Chad,TCD,0.0011248080590673542
2024,Chad,TCD,0.001227947603848797
2025,Chad,TCD,0.0013310871486302393
2026,Chad,TCD,0.0014342266934116814
2027,Chad,TCD,0.0015373662381931242
2028,Chad,TCD,0.0016405057829745667
2029,Chad,TCD,0.0017436453277560088
2030,Chad,TCD,0.0018467848725374515
2031,Chad,TCD,0.0019499244173188934
2032,Chad,TCD,0.0020530639621003364
2033,Chad,TCD,0.0021562035068817785
2034,Chad,TCD,0.002259343051663221
2035,Chad,TCD,0.002362482596444664
2036,Chad,TCD,0.0024656221412261057
2037,Chad,TCD,0.002568761686007548
2038,Chad,TCD,0.002671901230788991
2039,Chad,TCD,0.002775040775570433
2040,Chad,TCD,0.0028781803203518763
2041,Chad,TCD,0.002981319865133318
2042,Chad,TCD,0.0030844594099147605
2043,Chad,TCD,0.003187598954696203
2044,Chad,TCD,0.003290738499477645
2045,Chad,TCD,0.003393878044259088
2046,Chad,TCD,0.00349701758904053
2047,Chad,TCD,0.0036001571338219727
2048,Chad,TCD,0.003703296678603415
2049,Chad,TCD,0.003806436223384857
2050,Chad,TCD,0.0039095757681663
2021,Chile,CHL,0.03223965213218829
2022,Chile,CHL,0.03140174656592548
2023,Chile,CHL,0.03056384099966268
2024,Chile,CHL,0.02972593543339988
2025,Chile,CHL,0.028888029867137077
2026,Chile,CHL,0.028050124300874276
2027,Chile,CHL,0.02721221873461147
2028,Chile,CHL,0.02637431316834866
2029,Chile,CHL,0.02553640760208586
2030,Chile,CHL,0.024698502035823057
2031,Chile,CHL,0.023860596469560257
2032,Chile,CHL,0.023022690903297453
2033,Chile,CHL,0.02218478533703465
2034,Chile,CHL,0.02134687977077185
2035,Chile,CHL,0.020508974204509044
2036,Chile,CHL,0.01967106863824624
2037,Chile,CHL,0.01883316307198344
2038,Chile,CHL,0.017995257505720636
2039,Chile,CHL,0.017157351939457832
2040,Chile,CHL,0.016319446373195032
2041,Chile,CHL,0.015481540806932228
2042,Chile,CHL,0.014643635240669426
2043,Chile,CHL,0.01380572967440662
2044,Chile,CHL,0.01296782410814382
2045,Chile,CHL,0.012129918541881016
2046,Chile,CHL,0.011292012975618212
2047,Chile,CHL,0.010454107409355408
2048,Chile,CHL,0.009616201843092607
2049,Chile,CHL,0.008778296276829805
2050,Chile,CHL,0.007940390710567001
2021,China,CHN,0.0
2022,China,CHN,0.0
2023,China,CHN,0.0
2024,China,CHN,0.0
2025,China,CHN,0.0
2026,China,CHN,0.0
2027,China,CHN,0.0
2028,China,CHN,0.0
2029,China,CHN,0.0
2030,China,CHN,0.0
2031,China,CHN,0.0
2032,China,CHN,0.0
2033,China,CHN,0.0
2034,China,CHN,0.0
2035,China,CHN,0.0
2036,China,CHN,0.0
2037,China,CHN,0.0
2038,China,CHN,0.0
2039,China,CHN,0.0
2040,China,CHN,0.0
2041,China,CHN,0.0
2042,China,CHN,0.0
2043,China,CHN,0.0
2044,China,CHN,0.0
2045,China,CHN,0.0
2046,China,CHN,0.0
2047,China,CHN,0.0
2048,China,CHN,0.0
2049,China,CHN,0.0
2050,China,CHN,0.0
2021,Colombia,COL,0.001067026208776691
2022,Colombia,COL,0.0013337827609708635
2023,Colombia,COL,0.0016005393131650367
2024,Colombia,COL,0.0018672958653592094
2025,Colombia,COL,0.002134052417553382
2026,Colombia,COL,0.002400808969747555
2027,Colombia,COL,0.0026675655219417275
2028,Colombia,COL,0.0029343220741359
2029,Colombia,COL,0.003201078626330073
2030,Colombia,COL,0.003467835178524246
2031,Colombia,COL,0.0037345917307184187
2032,Colombia,COL,0.004001348282912591
2033,Colombia,COL,0.004268104835106764
2034,Colombia,COL,0.004534861387300936
2035,Colombia,COL,0.00480161793949511
2036,Colombia,COL,0.005068374491689283
2037,Colombia,COL,0.005335131043883455
2038,Colombia,COL,0.005601887596077628
2039,Colombia,COL,0.0058686441482718
2040,Colombia,COL,0.006135400700465974
2041,Colombia,COL,0.006402157252660147
2042,Colombia,COL,0.006668913804854319
2043,Colombia,COL,0.006935670357048492
2044,Colombia,COL,0.007202426909242664
2045,Colombia,COL,0.007469183461436837
2046,Colombia,COL,0.00773594001363101
2047,Colombia,COL,0.008002696565825182
2048,Colombia,COL,0.008269453118019356
2049,Colombia,COL,0.008536209670213528
2050,Colombia,COL,0.0088029662224077
2021,Congo,COG,3.089496140658182e-05
2022,Congo,COG,3.861870175822728e-05
2023,Congo,COG,4.634244210987273e-05
2024,Congo,COG,5.4066182461518185e-05
2025,Congo,COG,6.178992281316364e-05
2026,Congo,COG,6.951366316480909e-05
2027,Congo,COG,7.723740351645455e-05
2028,Congo,COG,8.496114386810001e-05
2029,Congo,COG,9.268488421974546e-05
2030,Congo,COG,0.00010040862457139092
2031,Congo,COG,0.00010813236492303637
2032,Congo,COG,0.00011585610527468183
2033,Congo,COG,0.00012357984562632728
2034,Congo,COG,0.00013130358597797273
2035,Congo,COG,0.00013902732632961818
2036,Congo,COG,0.00014675106668126365
2037,Congo,COG,0.00015447480703290907
2038,Congo,COG,0.00016219854738455458
2039,Congo,COG,0.00016992228773620002
2040,Congo,COG,0.00017764602808784547
2041,Congo,COG,0.00018536976843949087
2042,Congo,COG,0.0001930935087911364
2043,Congo,COG,0.00020081724914278184
2044,Congo,COG,0.00020854098949442732
2045,Congo,COG,0.00021626472984607277
2046,Congo,COG,0.00022398847019771816
2047,Congo,COG,0.00023171221054936366
2048,Congo,COG,0.00023943595090100908
2049,Congo,COG,0.00024715969125265456
2050,Congo,COG,0.0002548834316043
2021,Costa Rica,CRI,0.0036963641390967
2022,Costa Rica,CRI,0.0036963641390967
2023,Costa Rica,CRI,0.0036963641390967
2024,Costa Rica,CRI,0.0036963641390967
2025,Costa Rica,CRI,0.0036963641390967
2026,Costa Rica,CRI,0.0036963641390967
2027,Costa Rica,CRI,0.0036963641390967
2028,Costa Rica,CRI,0.0036963641390967
2029,Costa Rica,CRI,0.0036963641390967
2030,Costa Rica,CRI,0.0036963641390967
2031,Costa Rica,CRI,0.0036963641390967
2032,Costa Rica,CRI,0.0036963641390967
2033,Costa Rica,CRI,0.0036963641390967
2034,Costa Rica,CRI,0.0036963641390967
2035,Costa Rica,CRI,0.0036963641390967
2036,Costa Rica,CRI,0.0036963641390967
2037,Costa Rica,CRI,0.0036963641390967
2038,Costa Rica,CRI,0.0036963641390967
2039,Costa Rica,CRI,0.0036963641390967
2040,Costa Rica,CRI,0.0036963641390967
2041,Costa Rica,CRI,0.0036963641390967
2042,Costa Rica,CRI,0.003696364139096699
2043,Costa Rica,CRI,0.003696364139096699
2044,Costa Rica,CRI,0.003696364139096699
2045,Costa Rica,CRI,0.003696364139096699
2046,Costa Rica,CRI,0.003696364139096699
2047,Costa Rica,CRI,0.003696364139096699
2048,Costa Rica,CRI,0.003696364139096699
2049,Costa Rica,CRI,0.003696364139096699
2050,Costa Rica,CRI,0.003696364139096699
2021,Cuba,CUB,0.00014101393489204851
2022,Cuba,CUB,0.00017626741861506058
2023,Cuba,CUB,0.00021152090233807276
2024,Cuba,CUB,0.00024677438606108485
2025,Cuba,CUB,0.00028202786978409703
2026,Cuba,CUB,0.00031728135350710915
2027,Cuba,CUB,0.00035253483723012116
2028,Cuba,CUB,0.0003877883209531333
2029,Cuba,CUB,0.0004230418046761455
2030,Cuba,CUB,0.00045829528839915764
2031,Cuba,CUB,0.0004935487721221697
2032,Cuba,CUB,0.0005288022558451818
2033,Cuba,CUB,0.0005640557395681941
2034,Cuba,CUB,0.0005993092232912062
2035,Cuba,CUB,0.0006345627070142183
2036,Cuba,CUB,0.0006698161907372303
2037,Cuba,CUB,0.0007050696744602423
2038,Cuba,CUB,0.0007403231581832546
2039,Cuba,CUB,0.0007755766419062668
2040,Cuba,CUB,0.0008108301256292787
2041,Cuba,CUB,0.0008460836093522909
2042,Cuba,CUB,0.0008813370930753029
2043,Cuba,CUB,0.0009165905767983153
2044,Cuba,CUB,0.0009518440605213273
2045,Cuba,CUB,0.0009870975442443394
2046,Cuba,CUB,0.0010223510279673514
2047,Cuba,CUB,0.0010576045116903637
2048,Cuba,CUB,0.0010928579954133759
2049,Cuba,CUB,0.0011281114791363881
2050,Cuba,CUB,0.0011633649628594
2021,Czechia,CZE,0.0011728521102385336
2022,Czechia,CZE,0.0011523352099911668
2023,Czechia,CZE,0.0011318183097438
2024,Czechia,CZE,0.0011113014094964334
2025,Czechia,CZE,0.0010907845092490668
2026,Czechia,CZE,0.0010702676090017
2027,Czechia,CZE,0.0010497507087543331
2028,Czechia,CZE,0.0010292338085069667
2029,Czechia,CZE,0.0010087169082596
2030,Czechia,CZE,0.0009882000080122333
2031,Czechia,CZE,0.0009676831077648668
2032,Czechia,CZE,0.0009471662075175
2033,Czechia,CZE,0.0009266493072701334
2034,Czechia,CZE,0.0009061324070227668
2035,Czechia,CZE,0.0008856155067754
2036,Czechia,CZE,0.0008650986065280334
2037,Czechia,CZE,0.0008445817062806668
2038,Czechia,CZE,0.0008240648060333
2039,Czechia,CZE,0.0008035479057859334
2040,Czechia,CZE,0.0007830310055385668
2041,Czechia,CZE,0.0007625141052912
2042,Czechia,CZE,0.0007419972050438334
2043,Czechia,CZE,0.0007214803047964666
2044,Czechia,CZE,0.0007009634045491
2045,Czechia,CZE,0.0006804465043017332
2046,Czechia,CZE,0.0006599296040543668
2047,Czechia,CZE,0.0006394127038069999
2048,Czechia,CZE,0.0006188958035596334
2049,Czechia,CZE,0.0005983789033122668
2050,Czechia,CZE,0.0005778620030649
2021,Côte d'Ivoire,CIV,0.002278094400956442
2022,Côte d'Ivoire,CIV,0.002247618001195603
2023,Côte d'Ivoire,CIV,0.002217141601434764
2024,Côte d'Ivoire,CIV,0.0021866652016739236
2025,Côte d'Ivoire,CIV,0.0021561888019130853
2026,Côte d'Ivoire,CIV,0.002125712402152245
2027,Côte d'Ivoire,CIV,0.002095236002391406
2028,Côte d'Ivoire,CIV,0.0020647596026305668
2029,Côte d'Ivoire,CIV,0.002034283202869727
2030,Côte d'Ivoire,CIV,0.002003806803108888
2031,Côte d'Ivoire,CIV,0.0019733304033480482
2032,Côte d'Ivoire,CIV,0.001942854003587209
2033,Côte d'Ivoire,CIV,0.0019123776038263696
2034,Côte d'Ivoire,CIV,0.0018819012040655304
2035,Côte d'Ivoire,CIV,0.001851424804304691
2036,Côte d'Ivoire,CIV,0.0018209484045438515
2037,Côte d'Ivoire,CIV,0.001790472004783012
2038,Côte d'Ivoire,CIV,0.0017599956050221726
2039,Côte d'Ivoire,CIV,0.0017295192052613336
2040,Côte d'Ivoire,CIV,0.001699042805500494
2041,Côte d'Ivoire,CIV,0.0016685664057396546
2042,Côte d'Ivoire,CIV,0.0016380900059788151
2043,Côte d'Ivoire,CIV,0.001607613606217976
2044,Côte d'Ivoire,CIV,0.0015771372064571365
2045,Côte d'Ivoire,CIV,0.001546660806696297
2046,Côte d'Ivoire,CIV,0.0015161844069354578
2047,Côte d'Ivoire,CIV,0.0014857080071746182
2048,Côte d'Ivoire,CIV,0.001455231607413779
2049,Côte d'Ivoire,CIV,0.0014247552076529395
2050,Côte d'Ivoire,CIV,0.0013942788078921
2021,Democratic People's Republic of Korea,PRK,5.6011423823090904e-05
2022,Democratic People's Republic of Korea,PRK,7.001427977886363e-05
2023,Democratic People's Republic of Korea,PRK,8.401713573463636e-05
2024,Democratic People's Republic of Korea,PRK,9.80199916904091e-05
2025,Democratic People's Republic of Korea,PRK,0.00011202284764618181
2026,Democratic People's Republic of Korea,PRK,0.00012602570360195457
2027,Democratic People's Republic of Korea,PRK,0.00014002855955772727
2028,Democratic People's Republic of Korea,PRK,0.0001540314155135
2029,Democratic People's Republic of Korea,PRK,0.00016803427146927275
2030,Democratic People's Republic of Korea,PRK,0.0001820371274250455
2031,Democratic People's Republic of Korea,PRK,0.0001960399833808182
2032,Democratic People's Republic of Korea,PRK,0.00021004283933659086
2033,Democratic People's Republic of Korea,PRK,0.00022404569529236361
2034,Democratic People's Republic of Korea,PRK,0.00023804855124813637
2035,Democratic People's Republic of Korea,PRK,0.0002520514072039091
2036,Democratic People's Republic of Korea,PRK,0.0002660542631596818
2037,Democratic People's Republic of Korea,PRK,0.00028005711911545454
2038,Democratic People's Republic of Korea,PRK,0.0002940599750712273
2039,Democratic People's Republic of Korea,PRK,0.000308062831027
2040,Democratic People's Republic of Korea,PRK,0.0003220656869827727
2041,Democratic People's Republic of Korea,PRK,0.0003360685429385455
2042,Democratic People's Republic of Korea,PRK,0.00035007139889431816
2043,Democratic People's Republic of Korea,PRK,0.0003640742548500909
2044,Democratic People's Republic of Korea,PRK,0.00037807711080586366
2045,Democratic People's Republic of Korea,PRK,0.0003920799667616364
2046,Democratic People's Republic of Korea,PRK,0.0004060828227174091
2047,Democratic People's Republic of Korea,PRK,0.0004200856786731817
2048,Democratic People's Republic of Korea,PRK,0.00043408853462895456
2049,Democratic People's Republic of Korea,PRK,0.00044809139058472734
2050,Democratic People's Republic of Korea,PRK,0.0004620942465405
2021,Democratic Republic of the Congo,COD,0.002609561745422421
2022,Democratic Republic of the Congo,COD,0.0025812251111998518
2023,Democratic Republic of the Congo,COD,0.002552888476977282
2024,Democratic Republic of the Congo,COD,0.0025245518427547122
2025,Democratic Republic of the Congo,COD,0.0024962152085321425
2026,Democratic Republic of the Congo,COD,0.002467878574309573
2027,Democratic Republic of the Congo,COD,0.002439541940087003
2028,Democratic Republic of the Congo,COD,0.0024112053058644328
2029,Democratic Republic of the Congo,COD,0.002382868671641864
2030,Democratic Republic of the Congo,COD,0.002354532037419294
2031,Democratic Republic of the Congo,COD,0.002326195403196725
2032,Democratic Republic of the Congo,COD,0.0022978587689741546
2033,Democratic Republic of the Congo,COD,0.0022695221347515853
2034,Democratic Republic of the Congo,COD,0.0022411855005290146
2035,Democratic Republic of the Congo,COD,0.0022128488663064453
2036,Democratic Republic of the Congo,COD,0.002184512232083876
2037,Democratic Republic of the Congo,COD,0.0021561755978613067
2038,Democratic Republic of the Congo,COD,0.0021278389636387365
2039,Democratic Republic of the Congo,COD,0.0020995023294161667
2040,Democratic Republic of the Congo,COD,0.002071165695193597
2041,Democratic Republic of the Congo,COD,0.0020428290609710268
2042,Democratic Republic of the Congo,COD,0.0020144924267484574
2043,Democratic Republic of the Congo,COD,0.001986155792525888
2044,Democratic Republic of the Congo,COD,0.001957819158303318
2045,Democratic Republic of the Congo,COD,0.0019294825240807488
2046,Democratic Republic of the Congo,COD,0.0019011458898581788
2047,Democratic Republic of the Congo,COD,0.001872809255635609
2048,Democratic Republic of the Congo,COD,0.0018444726214130395
2049,Democratic Republic of the Congo,COD,0.001816135987190469
2050,Democratic Republic of the Congo,COD,0.0017877993529679
2021,Djibouti,DJI,1.7915136982937492e-16
2022,Djibouti,DJI,2.2393921228671863e-16
2023,Djibouti,DJI,2.6872705474406233e-16
2024,Djibouti,DJI,3.1351489720140613e-16
2025,Djibouti,DJI,3.5830273965874984e-16
2026,Djibouti,DJI,4.0309058211609355e-16
2027,Djibouti,DJI,4.4787842457343735e-16
2028,Djibouti,DJI,4.92666267030781e-16
2029,Djibouti,DJI,5.374541094881248e-16
2030,Djibouti,DJI,5.822419519454683e-16
2031,Djibouti,DJI,6.270297944028123e-16
2032,Djibouti,DJI,6.718176368601558e-16
2033,Djibouti,DJI,7.166054793174997e-16
2034,Djibouti,DJI,7.613933217748432e-16
2035,Djibouti,DJI,8.061811642321871e-16
2036,Djibouti,DJI,8.509690066895308e-16
2037,Djibouti,DJI,8.957568491468745e-16
2038,Djibouti,DJI,9.405446916042181e-16
2039,Djibouti,DJI,9.85332534061562e-16
2040,Djibouti,DJI,1.0301203765189057e-15
2041,Djibouti,DJI,1.0749082189762491e-15
2042,Djibouti,DJI,1.1196960614335931e-15
2043,Djibouti,DJI,1.1644839038909365e-15
2044,Djibouti,DJI,1.2092717463482805e-15
2045,Djibouti,DJI,1.2540595888056245e-15
2046,Djibouti,DJI,1.298847431262968e-15
2047,Djibouti,DJI,1.3436352737203116e-15
2048,Djibouti,DJI,1.3884231161776556e-15
2049,Djibouti,DJI,1.4332109586349994e-15
2050,Djibouti,DJI,1.477998801092343e-15
2021,Dominica,DMA,0.0
2022,Dominica,DMA,0.0
2023,Dominica,DMA,0.0
2024,Dominica,DMA,0.0
2025,Dominica,DMA,0.0
2026,Dominica,DMA,0.0
2027,Dominica,DMA,0.0
2028,Dominica,DMA,0.0
2029,Dominica,DMA,0.0
2030,Dominica,DMA,0.0
2031,Dominica,DMA,0.0
2032,Dominica,DMA,0.0
2033,Dominica,DMA,0.0
2034,Dominica,DMA,0.0
2035,Dominica,DMA,0.0
2036,Dominica,DMA,0.0
2037,Dominica,DMA,0.0
2038,Dominica,DMA,0.0
2039,Dominica,DMA,0.0
2040,Dominica,DMA,0.0
2041,Dominica,DMA,0.0
2042,Dominica,DMA,0.0
2043,Dominica,DMA,0.0
2044,Dominica,DMA,0.0
2045,Dominica,DMA,0.0
2046,Dominica,DMA,0.0
2047,Dominica,DMA,0.0
2048,Dominica,DMA,0.0
2049,Dominica,DMA,0.0
2050,Dominica,DMA,0.0
2021,Dominican Republic,DOM,0.0
2022,Dominican Republic,DOM,0.0
2023,Dominican Republic,DOM,0.0
2024,Dominican Republic,DOM,0.0
2025,Dominican Republic,DOM,0.0
2026,Dominican Republic,DOM,0.0
2027,Dominican Republic,DOM,0.0
2028,Dominican Republic,DOM,0.0
2029,Dominican Republic,DOM,0.0
2030,Dominican Republic,DOM,0.0
2031,Dominican Republic,DOM,0.0
2032,Dominican Republic,DOM,0.0
2033,Dominican Republic,DOM,0.0
2034,Dominican Republic,DOM,0.0
2035,Dominican Republic,DOM,0.0
2036,Dominican Republic,DOM,0.0
2037,Dominican Republic,DOM,0.0
2038,Dominican Republic,DOM,0.0
2039,Dominican Republic,DOM,0.0
2040,Dominican Republic,DOM,0.0
2041,Dominican Republic,DOM,0.0
2042,Dominican Republic,DOM,0.0
2043,Dominican Republic,DOM,0.0
2044,Dominican Republic,DOM,0.0
2045,Dominican Republic,DOM,0.0
2046,Dominican Republic,DOM,0.0
2047,Dominican Republic,DOM,0.0
2048,Dominican Republic,DOM,0.0
2049,Dominican Republic,DOM,0.0
2050,Dominican Republic,DOM,0.0
2021,Ecuador,ECU,0.0109941436627117
2022,Ecuador,ECU,0.0109941436627117
2023,Ecuador,ECU,0.0109941436627117
2024,Ecuador,ECU,0.0109941436627117
2025,Ecuador,ECU,0.0109941436627117
