"year","prodinit_ippu_lime_and_carbonite_tonne","location_code"
2022,146588.697951532,"CHE"
2023,138034.865269324,"CHE"
2024,129980.171023966,"CHE"
2025,122395.489186411,"CHE"
2026,115253.393307344,"CHE"
2027,108528.057342264,"CHE"
2028,102195.162263697,"CHE"
2029,96231.8081228227,"CHE"
2030,90616.4312425322,"CHE"
2031,85328.7262424942,"CHE"
2032,80349.5726142553,"CHE"
2033,75660.9655808777,"CHE"
2034,71245.9509910962,"CHE"
2035,67088.5640125715,"CHE"
2036,63173.7714025516,"CHE"
2037,59487.4171471907,"CHE"
2038,56016.1712729556,"CHE"
2039,52747.4816450201,"CHE"
2040,49669.5285783486,"CHE"
2041,46771.1820973409,"CHE"
2042,44041.9616894893,"CHE"
2043,41471.9984075135,"CHE"
2044,39051.9991829353,"CHE"
2045,36773.2132220491,"CHE"
2046,34627.4003627757,"CHE"
2047,32606.801277975,"CHE"
2048,30704.1094174742,"CHE"
2049,28912.4445873513,"CHE"
2050,27225.3280709363,"CHE"
2021,1680519,"CHL"
2022,9806080.76887069,"CHL"
2023,57219954.1008554,"CHL"
2024,333887026.272278,"CHL"
2025,1948280946.12676,"CHL"
2026,11368511940.7581,"CHL"
2027,66336974656.6059,"CHL"
2028,387086210536.867,"CHL"
2029,2258706176508.92,"CHL"
2030,13179889784045,"CHL"
2031,76906636430269,"CHL"
2032,448761774485972,"CHL"
2033,2618592355451603,"CHL"
2034,15279879690920338,"CHL"
2035,89160392942770480,"CHL"
2036,520264284177123264,"CHL"
2037,3035820238747411968,"CHL"
2038,17714467055076085760,"CHL"
2039,1.03366575873034e+20,"CHL"
2040,6.03159495258649e+20,"CHL"
2041,3.51952624577145e+21,"CHL"
2042,2.05369642558014e+22,"CHL"
2043,1.1983627096141e+23,"CHL"
2044,6.9926263974871e+23,"CHL"
2045,4.08030252798664e+24,"CHL"
2046,2.38091780877599e+25,"CHL"
2047,1.38930130137773e+26,"CHL"
2048,8.1067817582587e+26,"CHL"
2049,4.73042891494189e+27,"CHL"
2050,2.76027632007264e+28,"CHL"
2021,41656470,"CHN"
2022,59701008.9761747,"CHN"
2023,85561990.0767707,"CHN"
2024,122625300.16568,"CHN"
2025,175743507.452682,"CHN"
2026,251871191.100374,"CHN"
2027,360975479.696749,"CHN"
2028,517341012.17781,"CHN"
2029,741440175.122154,"CHN"
2030,1062613479.97716,"CHN"
2031,1522911012.53469,"CHN"
2032,2182597902.06056,"CHN"
2033,3128044621.69497,"CHN"
2034,4483035169.2711,"CHN"
2035,6424973668.70407,"CHN"
2036,9208111264.99648,"CHN"
2037,13196834328.1409,"CHN"
2038,18913372272.8169,"CHN"
2039,27106171210.1188,"CHN"
2040,38847885351.9041,"CHN"
2041,55675815836.0378,"CHN"
2042,79793184131.6161,"CHN"
2043,114357592039.824,"CHN"
2044,163894435338.935,"CHN"
2045,234889397861,"CHN"
2046,336637599155.854,"CHN"
2047,482460571645.211,"CHN"
2048,691450401784.912,"CHN"
2049,990969389473.968,"CHN"
2050,1420232497283.13,"CHN"
2021,1441751,"CIV"
2022,8120064.02656764,"CIV"
2023,45732889.9342244,"CIV"
2024,257571518.511777,"CIV"
2025,1450664658.27725,"CIV"
2026,8170266506.6923,"CIV"
2027,46015634564.1256,"CIV"
2028,259163960270.42,"CIV"
2029,1459633425449.09,"CIV"
2030,8220779364789.64,"CIV"
2031,46300127269117.9,"CIV"
2032,260766247336376,"CIV"
2033,1468657642227505,"CIV"
2034,8271604519778533,"CIV"
2035,46586378856715192,"CIV"
2036,262378440578480224,"CIV"
2037,1477737651430956800,"CIV"
2038,8322743902441591808,"CIV"
2039,46874400201249153024,"CIV"
2040,2.64000601241892e+20,"CIV"
2041,1.48687379799737e+21,"CIV"
2042,8.37419945549855e+21,"CIV"
2043,4.71642022442822e+22,"CIV"
2044,2.65632790950418e+23,"CIV"
2045,1.49606642899728e+24,"CIV"
2046,8.42597313368003e+24,"CIV"
2047,4.74557959950232e+25,"CIV"
2048,2.6727507170886e+26,"CIV"
2049,1.50531589364696e+27,"CIV"
2050,8.47806690380184e+27,"CIV"
2021,293725.6,"CMR"
2022,512437.632956771,"CMR"
2023,894005.587767421,"CMR"
2024,1559694.17458221,"CMR"
2025,2721063.43798216,"CMR"
2026,4747203.87764904,"CMR"
2027,8282035.74433308,"CMR"
2028,14448950.9695083,"CMR"
2029,25207834.2286927,"CMR"
2030,43977926.6911633,"CMR"
2031,76724482.4964733,"CMR"
2032,133854564.261086,"CMR"
2033,233524473.421489,"CMR"
2034,407409937.702346,"CMR"
2035,710772857.793994,"CMR"
2036,1240023889.02389,"CMR"
2037,2163362357.59242,"CMR"
2038,3774231070.60618,"CMR"
2039,6584574296.7359,"CMR"
2040,11487536893.7789,"CMR"
2041,20041311395.2329,"CMR"
2042,34964341455.8443,"CMR"
2043,60999260444.1872,"CMR"
2044,106420130332.98,"CMR"
2045,185661990942.511,"CMR"
2046,323908406923.407,"CMR"
2047,565094963934.465,"CMR"
2048,985872275737.523,"CMR"
2049,1719966034205.53,"CMR"
2050,3000675880258.07,"CMR"
2021,86060.39,"COD"
2022,284228.992938459,"COD"
2023,938714.319407691,"COD"
2024,3100262.79990317,"COD"
2025,10239142.2286262,"COD"
2026,33816498.9049676,"COD"
2027,111684706.849033,"COD"
2028,368857633.044977,"COD"
2029,1218214716.17822,"COD"
2030,4023360130.74246,"COD"
2031,13287827282.5591,"COD"
2032,43885296904.4405,"COD"
2033,144938615127.754,"COD"
2034,478684289202.69,"COD"
2035,1580935822572.3,"COD"
2036,5221307929816,"COD"
2037,17244252491921,"COD"
2038,56952060288771.7,"COD"
2039,188093811120865,"COD"
2040,621211622592462,"COD"
2041,2051656446027278,"COD"
2042,6775942399401518,"COD"
2043,22378695755281816,"COD"
2044,73909427528737808,"COD"
2045,244098384345587392,"COD"
2046,806176197440554880,"COD"
2047,2662533236596824576,"COD"
2048,8793466314794652672,"COD"
2049,29041909699599826944,"COD"
2050,95915818495906381824,"COD"
2021,3718.754,"COG"
2022,Inf,"COG"
2023,Inf,"COG"
2024,Inf,"COG"
2025,Inf,"COG"
2026,Inf,"COG"
2027,Inf,"COG"
2028,Inf,"COG"
2029,Inf,"COG"
2030,Inf,"COG"
2031,Inf,"COG"
2032,Inf,"COG"
2033,Inf,"COG"
2034,Inf,"COG"
2035,Inf,"COG"
2036,Inf,"COG"
2037,Inf,"COG"
2038,Inf,"COG"
2039,Inf,"COG"
2040,Inf,"COG"
2041,Inf,"COG"
2042,Inf,"COG"
2043,Inf,"COG"
2044,Inf,"COG"
2045,Inf,"COG"
2046,Inf,"COG"
2047,Inf,"COG"
2048,Inf,"COG"
2049,Inf,"COG"
2050,Inf,"COG"
2021,9507.492,"COL"
2022,12418.5786252479,"COL"
2023,16221.0070827789,"COL"
2024,21187.6961703668,"COL"
2025,27675.1293379541,"COL"
2026,36148.9412399492,"COL"
2027,47217.3386007346,"COL"
2028,61674.7541715706,"COL"
2029,80558.8670358582,"COL"
2030,105225.081887599,"COL"
2031,137443.813023382,"COL"
2032,179527.555593498,"COL"
2033,234496.864634377,"COL"
2034,306297.155005349,"COL"
2035,400081.883016433,"COL"
2036,522582.435070868,"COL"
2037,682591.272030634,"COL"
2038,891593.006927632,"COL"
2039,1164588.71153949,"COL"
2040,1521172.61632503,"COL"
2041,1986938.48371436,"COL"
2042,2595316.59700977,"COL"
2043,3389973.21453193,"COL"
2044,4427944.70951425,"COL"
2045,5783731.34822024,"COL"
2046,7554644.53666478,"COL"
2047,9867791.33386292,"COL"
2048,12889197.5441175,"COL"
2049,16835724.1970832,"COL"
2050,21990632.7193823,"COL"
2021,0,"COM"
2022,NA,"COM"
2023,NA,"COM"
2024,NA,"COM"
2025,NA,"COM"
2026,NA,"COM"
2027,NA,"COM"
2028,NA,"COM"
2029,NA,"COM"
2030,NA,"COM"
2031,NA,"COM"
2032,NA,"COM"
2033,NA,"COM"
2034,NA,"COM"
2035,NA,"COM"
2036,NA,"COM"
2037,NA,"COM"
2038,NA,"COM"
2039,NA,"COM"
2040,NA,"COM"
2041,NA,"COM"
2042,NA,"COM"
2043,NA,"COM"
2044,NA,"COM"
2045,NA,"COM"
2046,NA,"COM"
2047,NA,"COM"
2048,NA,"COM"
2049,NA,"COM"
2050,NA,"COM"
2021,0,"CPV"
2022,NA,"CPV"
2023,NA,"CPV"
2024,NA,"CPV"
2025,NA,"CPV"
2026,NA,"CPV"
2027,NA,"CPV"
2028,NA,"CPV"
2029,NA,"CPV"
2030,NA,"CPV"
2031,NA,"CPV"
2032,NA,"CPV"
2033,NA,"CPV"
2034,NA,"CPV"
2035,NA,"CPV"
2036,NA,"CPV"
2037,NA,"CPV"
2038,NA,"CPV"
2039,NA,"CPV"
2040,NA,"CPV"
2041,NA,"CPV"
2042,NA,"CPV"
2043,NA,"CPV"
2044,NA,"CPV"
2045,NA,"CPV"
2046,NA,"CPV"
2047,NA,"CPV"
2048,NA,"CPV"
2049,NA,"CPV"
2050,NA,"CPV"
2021,45577.7,"CRI"
2022,47921.5962564591,"CRI"
2023,50386.0306195151,"CRI"
2024,52977.201928004,"CRI"
2025,55701.6278046219,"CRI"
2026,58566.1610498258,"CRI"
2027,61578.0068788139,"CRI"
2028,64744.7410449404,"CRI"
2029,68074.3288951533,"CRI"
2030,71575.1454053834,"CRI"
2031,75255.9962462813,"CRI"
2032,79126.1399322891,"CRI"
2033,83195.3111097586,"CRI"
2034,87473.7450426932,"CRI"
2035,91972.2033577031,"CRI"
2036,96702.0011129302,"CRI"
2037,101675.03525903,"CRI"
2038,106903.8145638,"CRI"
2039,112401.491075718,"CRI"
2040,118181.893205549,"CRI"
2041,124259.560509203,"CRI"
2042,130649.780259361,"CRI"
2043,137368.625897845,"CRI"
2044,144432.997465451,"CRI"
2045,151860.664110947,"CRI"
2046,159670.308786151,"CRI"
2047,167881.575239516,"CRI"
2048,176515.117426427,"CRI"
2049,185592.651460488,"CRI"
2050,195137.010236481,"CRI"
2021,0,"CUB"
2022,0,"CUB"
2023,0,"CUB"
2024,0,"CUB"
2025,0,"CUB"
2026,0,"CUB"
2027,0,"CUB"
2028,0,"CUB"
2029,0,"CUB"
2030,0,"CUB"
2031,0,"CUB"
2032,0,"CUB"
2033,0,"CUB"
2034,0,"CUB"
2035,0,"CUB"
2036,0,"CUB"
2037,0,"CUB"
2038,0,"CUB"
2039,0,"CUB"
2040,0,"CUB"
2041,0,"CUB"
2042,0,"CUB"
2043,0,"CUB"
2044,0,"CUB"
2045,0,"CUB"
2046,0,"CUB"
2047,0,"CUB"
2048,0,"CUB"
2049,0,"CUB"
2050,0,"CUB"
2021,11643.79,"CUW"
2022,Inf,"CUW"
2023,Inf,"CUW"
2024,Inf,"CUW"
2025,Inf,"CUW"
2026,Inf,"CUW"
2027,Inf,"CUW"
2028,Inf,"CUW"
2029,Inf,"CUW"
2030,Inf,"CUW"
2031,Inf,"CUW"
2032,Inf,"CUW"
2033,Inf,"CUW"
2034,Inf,"CUW"
2035,Inf,"CUW"
2036,Inf,"CUW"
2037,Inf,"CUW"
2038,Inf,"CUW"
2039,Inf,"CUW"
2040,Inf,"CUW"
2041,Inf,"CUW"
2042,Inf,"CUW"
2043,Inf,"CUW"
2044,Inf,"CUW"
2045,Inf,"CUW"
2046,Inf,"CUW"
2047,Inf,"CUW"
2048,Inf,"CUW"
2049,Inf,"CUW"
2050,Inf,"CUW"
2021,2239.63,"CYM"
2022,Inf,"CYM"
2023,Inf,"CYM"
2024,Inf,"CYM"
2025,Inf,"CYM"
2026,Inf,"CYM"
2027,Inf,"CYM"
2028,Inf,"CYM"
2029,Inf,"CYM"
2030,Inf,"CYM"
2031,Inf,"CYM"
2032,Inf,"CYM"
2033,Inf,"CYM"
2034,Inf,"CYM"
2035,Inf,"CYM"
2036,Inf,"CYM"
2037,Inf,"CYM"
2038,Inf,"CYM"
2039,Inf,"CYM"
2040,Inf,"CYM"
2041,Inf,"CYM"
2042,Inf,"CYM"
2043,Inf,"CYM"
2044,Inf,"CYM"
2045,Inf,"CYM"
2046,Inf,"CYM"
2047,Inf,"CYM"
2048,Inf,"CYM"
2049,Inf,"CYM"
2050,Inf,"CYM"
2021,75366.04,"CYP"
2022,Inf,"CYP"
2023,Inf,"CYP"
2024,Inf,"CYP"
2025,Inf,"CYP"
2026,Inf,"CYP"
2027,Inf,"CYP"
2028,Inf,"CYP"
2029,Inf,"CYP"
2030,Inf,"CYP"
2031,Inf,"CYP"
2032,Inf,"CYP"
2033,Inf,"CYP"
2034,Inf,"CYP"
2035,Inf,"CYP"
2036,Inf,"CYP"
2037,Inf,"CYP"
2038,Inf,"CYP"
2039,Inf,"CYP"
2040,Inf,"CYP"
2041,Inf,"CYP"
2042,Inf,"CYP"
2043,Inf,"CYP"
2044,Inf,"CYP"
2045,Inf,"CYP"
2046,Inf,"CYP"
2047,Inf,"CYP"
2048,Inf,"CYP"
2049,Inf,"CYP"
2050,Inf,"CYP"
2021,737044.8,"CZE"
2022,716849.010375677,"CZE"
2023,697206.606269507,"CZE"
2024,678102.424346091,"CZE"
2025,659521.716761101,"CZE"
2026,641450.139776392,"CZE"
2027,623873.742687074,"CZE"
2028,606778.957051999,"CZE"
2029,590152.586219332,"CZE"
2030,573981.795139148,"CZE"
2031,558254.100455159,"CZE"
2032,542957.360867948,"CZE"
2033,528079.767762255,"CZE"
2034,513609.83609109,"CZE"
2035,499536.395509623,"CZE"
2036,485848.581752027,"CZE"
2037,472535.828244587,"CZE"
2038,459587.857948639,"CZE"
2039,446994.675427001,"CZE"
2040,434746.559127807,"CZE"
2041,422834.053879763,"CZE"
2042,411247.963593046,"CZE"
2043,399979.344160202,"CZE"
2044,389019.496551571,"CZE"
2045,378359.960099898,"CZE"
2046,367992.505968962,"CZE"
2047,357909.130801161,"CZE"
2048,348102.050539168,"CZE"
2049,338563.694416875,"CZE"
2050,329286.699114992,"CZE"
2021,5744163,"DEU"
2022,5665773.86081224,"DEU"
2023,5588454.47837452,"DEU"
2024,5512190.25398713,"DEU"
2025,5436966.7881751,"DEU"
2026,5362769.87796947,"DEU"
2027,5289585.5142256,"DEU"
2028,5217399.8789781,"DEU"
2029,5146199.34283185,"DEU"
2030,5075970.46238866,"DEU"
2031,5006699.97770897,"DEU"
2032,4938374.80980827,"DEU"
2033,4870982.05818764,"DEU"
2034,4804508.99839802,"DEU"
2035,4738943.07963766,"DEU"
2036,4674271.92238244,"DEU"
2037,4610483.31604848,"DEU"
2038,4547565.21668665,"DEU"
2039,4485505.74470853,"DEU"
2040,4424293.18264344,"DEU"
2041,4363915.97292608,"DEU"
2042,4304362.7157143,"DEU"
2043,4245622.16673671,"DEU"
2044,4187683.23516967,"DEU"
2045,4130534.98154316,"DEU"
2046,4074166.61567539,"DEU"
2047,4018567.49463543,"DEU"
2048,3963727.12073371,"DEU"
2049,3909635.13954002,"DEU"
2050,3856281.33792841,"DEU"
2021,1281.639,"DJI"
2022,Inf,"DJI"
2023,Inf,"DJI"
2024,Inf,"DJI"
2025,Inf,"DJI"
2026,Inf,"DJI"
2027,Inf,"DJI"
2028,Inf,"DJI"
2029,Inf,"DJI"
2030,Inf,"DJI"
2031,Inf,"DJI"
2032,Inf,"DJI"
2033,Inf,"DJI"
2034,Inf,"DJI"
2035,Inf,"DJI"
2036,Inf,"DJI"
2037,Inf,"DJI"
2038,Inf,"DJI"
2039,Inf,"DJI"
2040,Inf,"DJI"
2041,Inf,"DJI"
2042,Inf,"DJI"
2043,Inf,"DJI"
2044,Inf,"DJI"
2045,Inf,"DJI"
2046,Inf,"DJI"
2047,Inf,"DJI"
2048,Inf,"DJI"
2049,Inf,"DJI"
2050,Inf,"DJI"
2021,3504.126,"DMA"
2022,8510.10370293548,"DMA"
2023,20667.5972937949,"DMA"
2024,50193.2282859415,"DMA"
2025,121899.034994312,"DMA"
2026,296043.415416384,"DMA"
2027,718969.627737314,"DMA"
2028,1746086.21131359,"DMA"
2029,4240536.65094931,"DMA"
2030,10298547.1000978,"DMA"
2031,25011002.4044221,"DMA"
2032,60741601.2369421,"DMA"
2033,147516763.269566,"DMA"
2034,358258508.211574,"DMA"
2035,870064905.582579,"DMA"
2036,2113035482.96851,"DMA"
2037,5131707903.21022,"DMA"
2038,12462841356.0165,"DMA"
2039,30267197119.3197,"DMA"
2040,73506770670.5184,"DMA"
2041,178518192917.152,"DMA"
2042,433548432500.888,"DMA"
2043,1052913656879.83,"DMA"
2044,2557101088911.86,"DMA"
2045,6210163517387.55,"DMA"
2046,15081973520688.1,"DMA"
2047,36628009011657.3,"DMA"
2048,88954608116620,"DMA"
2049,216034737314361,"DMA"
2050,524660933420099,"DMA"
2021,777941.6,"DNK"
2022,772423.506976705,"DNK"
2023,766944.554874288,"DNK"
2024,761504.466058488,"DNK"
2025,756102.964864355,"DNK"
2026,750739.777582288,"DNK"
2027,745414.632444161,"DNK"
2028,740127.259609552,"DNK"
2029,734877.391152071,"DNK"
2030,729664.761045783,"DNK"
2031,724489.105151728,"DNK"
2032,719350.161204533,"DNK"
2033,714247.668799127,"DNK"
2034,709181.369377544,"DNK"
2035,704151.006215819,"DNK"
2036,699156.324410982,"DNK"
2037,694197.070868139,"DNK"
2038,689272.994287649,"DNK"
2039,684383.845152387,"DNK"
2040,679529.375715103,"DNK"
2041,674709.339985869,"DNK"
2042,669923.493719609,"DNK"
2043,665171.594403728,"DNK"
2044,660453.401245818,"DNK"
2045,655768.675161461,"DNK"
2046,651117.178762112,"DNK"
2047,646498.676343068,"DNK"
2048,641912.933871528,"DNK"
2049,637359.718974729,"DNK"
2050,632838.800928176,"DNK"
2021,858774.1,"DOM"
2022,842148.292679413,"DOM"
2023,825844.359841372,"DOM"
2024,809856.070018103,"DOM"
2025,794177.312382622,"DOM"
2026,778802.094413129,"DOM"
2027,763724.539602635,"DOM"
2028,748938.885212921,"DOM"
2029,734439.480071982,"DOM"
2030,720220.782414113,"DOM"
2031,706277.35776181,"DOM"
2032,692603.876848679,"DOM"
2033,679195.113582556,"DOM"
2034,666045.94304806,"DOM"
2035,653151.33954782,"DOM"
2036,640506.374681617,"DOM"
2037,628106.21546272,"DOM"
2038,615946.122470691,"DOM"
2039,604021.448039941,"DOM"
2040,592327.634483368,"DOM"
2041,580860.212350376,"DOM"
2042,569614.798718628,"DOM"
2043,558587.095518856,"DOM"
2044,547772.887892121,"DOM"
2045,537168.042578858,"DOM"
2046,526768.506339127,"DOM"
2047,516570.304403428,"DOM"
2048,506569.538953529,"DOM"
2049,496762.387632687,"DOM"
2050,487145.102084723,"DOM"
2021,1069.134,"DZA"
2022,Inf,"DZA"
2023,Inf,"DZA"
2024,Inf,"DZA"
2025,Inf,"DZA"
2026,Inf,"DZA"
2027,Inf,"DZA"
2028,Inf,"DZA"
2029,Inf,"DZA"
2030,Inf,"DZA"
2031,Inf,"DZA"
2032,Inf,"DZA"
2033,Inf,"DZA"
2034,Inf,"DZA"
2035,Inf,"DZA"
2036,Inf,"DZA"
2037,Inf,"DZA"
2038,Inf,"DZA"
2039,Inf,"DZA"
2040,Inf,"DZA"
2041,Inf,"DZA"
2042,Inf,"DZA"
2043,Inf,"DZA"
2044,Inf,"DZA"
2045,Inf,"DZA"
2046,Inf,"DZA"
2047,Inf,"DZA"
2048,Inf,"DZA"
2049,Inf,"DZA"
2050,Inf,"DZA"
2021,4136.366,"ECU"
2022,Inf,"ECU"
2023,Inf,"ECU"
2024,Inf,"ECU"
2025,Inf,"ECU"
2026,Inf,"ECU"
2027,Inf,"ECU"
2028,Inf,"ECU"
2029,Inf,"ECU"
2030,Inf,"ECU"
2031,Inf,"ECU"
2032,Inf,"ECU"
2033,Inf,"ECU"
2034,Inf,"ECU"
2035,Inf,"ECU"
2036,Inf,"ECU"
2037,Inf,"ECU"
2038,Inf,"ECU"
2039,Inf,"ECU"
2040,Inf,"ECU"
2041,Inf,"ECU"
2042,Inf,"ECU"
2043,Inf,"ECU"
2044,Inf,"ECU"
2045,Inf,"ECU"
2046,Inf,"ECU"
2047,Inf,"ECU"
2048,Inf,"ECU"
2049,Inf,"ECU"
2050,Inf,"ECU"
2021,3819474,"EGY"
2022,4579896.27555974,"EGY"
2023,5491711.65843411,"EGY"
2024,6585061.12907441,"EGY"
2025,7896086.460958,"EGY"
2026,9468124.9234945,"EGY"
2027,11353141.8393336,"EGY"
2028,13613448.3507062,"EGY"
2029,16323761.1773046,"EGY"
2030,19573672.4530823,"EGY"
2031,23470611.2849303,"EGY"
2032,28143394.9305487,"EGY"
2033,33746486.9832932,"EGY"
2034,40465103.3226066,"EGY"
2035,48521334.6123958,"EGY"
2036,58181487.7327348,"EGY"
2037,69764888.8233502,"EGY"
2038,83654438.9324029,"EGY"
2039,100309271.19822,"EGY"
2040,120279927.959934,"EGY"
2041,144226559.491777,"EGY"
2042,172940745.938625,"EGY"
2043,207371663.79895,"EGY"
2044,248657461.914766,"EGY"
2045,298162884.133673,"EGY"
2046,357524382.298179,"EGY"
2047,428704210.817832,"EGY"
2048,514055290.974978,"EGY"
2049,616398989.119465,"EGY"
2050,739118379.789214,"EGY"
2021,0,"ERI"
2022,NA,"ERI"
2023,NA,"ERI"
2024,NA,"ERI"
2025,NA,"ERI"
2026,NA,"ERI"
2027,NA,"ERI"
2028,NA,"ERI"
2029,NA,"ERI"
2030,NA,"ERI"
2031,NA,"ERI"
2032,NA,"ERI"
2033,NA,"ERI"
2034,NA,"ERI"
2035,NA,"ERI"
2036,NA,"ERI"
2037,NA,"ERI"
2038,NA,"ERI"
2039,NA,"ERI"
2040,NA,"ERI"
2041,NA,"ERI"
2042,NA,"ERI"
2043,NA,"ERI"
2044,NA,"ERI"
2045,NA,"ERI"
2046,NA,"ERI"
2047,NA,"ERI"
2048,NA,"ERI"
2049,NA,"ERI"
2050,NA,"ERI"
2021,5851171,"ESP"
2022,8557148.00370843,"ESP"
2023,12514551.6952711,"ESP"
2024,18302126.3703445,"ESP"
2025,26766266.8094323,"ESP"
2026,39144797.9549839,"ESP"
2027,57247998.6785654,"ESP"
2028,83723343.1749967,"ESP"
2029,122442676.67339,"ESP"
2030,179068447.369667,"ESP"
2031,261881802.281374,"ESP"
2032,382993650.604234,"ESP"
2033,560115804.631419,"ESP"
2034,819151215.961265,"ESP"
2035,1197982112.0248,"ESP"
2036,1752010023.01786,"ESP"
2037,2562257891.78687,"ESP"
2038,3747219147.02034,"ESP"
2039,5480186588.86966,"ESP"
2040,8014595322.69622,"ESP"
2041,11721085978.5402,"ESP"
2042,17141708468.7082,"ESP"
2043,25069193226.9897,"ESP"
2044,36662882827.5426,"ESP"
2045,53618278221.2146,"ESP"
2046,78414994612.6937,"ESP"
2047,114679388896.824,"ESP"
2048,167714890534.726,"ESP"
2049,245277593276.868,"ESP"
2050,358710532928.12,"ESP"
2021,317956.2,"EST"
2022,330228.671499863,"EST"
2023,342974.835781043,"EST"
2024,356212.97643467,"EST"
2025,369962.082761818,"EST"
2026,384241.877012486,"EST"
2027,399072.842675963,"EST"
2028,414476.253863132,"EST"
2029,430474.205822884,"EST"
2030,447089.646636391,"EST"
2031,464346.410134724,"EST"
2032,482269.250087026,"EST"
2033,500883.875708269,"EST"
2034,520216.988537554,"EST"
2035,540296.320739825,"EST"
2036,561150.674885963,"EST"
2037,582809.965268307,"EST"
2038,605305.260810873,"EST"
2039,628668.82963582,"EST"
2040,652934.18535009,"EST"
2041,678136.135118628,"EST"
2042,704310.82959312,"EST"
2043,731495.81476789,"EST"
2044,759730.085837326,"EST"
2045,789054.143132095,"EST"
2046,819510.050214383,"EST"
2047,851141.494215498,"EST"
2048,883993.848502378,"EST"
2049,918114.23776291,"EST"
2050,953551.605603398,"EST"
2021,17125.92,"ETH"
2022,47077.4057975827,"ETH"
2023,129410.982687661,"ETH"
2024,355737.580617625,"ETH"
2025,977886.29400267,"ETH"
2026,2688109.5956689,"ETH"
2027,7389338.86551385,"ETH"
2028,20312538.2080288,"ETH"
2029,55837093.9487208,"ETH"
2030,153490471.191135,"ETH"
2031,421929636.383168,"ETH"
2032,1159841498.15233,"ETH"
2033,3188285877.16126,"ETH"
2034,8764272403.34081,"ETH"
2035,24092090144.7999,"ETH"
2036,66226696391.1245,"ETH"
2037,182050427693.127,"ETH"
2038,500438041292.545,"ETH"
2039,1375653088796.2,"ETH"
2040,3781529908930.83,"ETH"
2041,10395039685951.6,"ETH"
2042,28574902929449.7,"ETH"
2043,78549491112666.6,"ETH"
2044,215924532422470,"ETH"
2045,593554497189402,"ETH"
2046,1631620720356374,"ETH"
2047,4485158797890056,"ETH"
2048,12329243672449038,"ETH"
2049,33891832237051344,"ETH"
2050,93165187005852048,"ETH"
2021,2904535,"FIN"
2022,2581425.48478254,"FIN"
2023,2294259.6778778,"FIN"
2024,2039039.0892803,"FIN"
2025,1812210.03346007,"FIN"
2026,1610614.14792814,"FIN"
2027,1431444.41627077,"FIN"
2028,1272206.08331834,"FIN"
2029,1130681.91823247,"FIN"
2030,1004901.34183548,"FIN"
2031,893112.988311825,"FIN"
2032,793760.319231285,"FIN"
2033,705459.950344123,"FIN"
2034,626982.389371017,"FIN"
2035,557234.916581207,"FIN"
2036,495246.369788418,"FIN"
2037,440153.621911205,"FIN"
2038,391189.562811578,"FIN"
2039,347672.418071309,"FIN"
2040,308996.255980819,"FIN"
2041,274622.550560168,"FIN"
2042,244072.683135855,"FIN"
2043,216921.27806556,"FIN"
2044,192790.279817608,"FIN"
2045,171343.688934556,"FIN"
2046,152282.883584573,"FIN"
2047,135342.461558008,"FIN"
2048,120286.544813213,"FIN"
2049,106905.495116177,"FIN"
2050,95012.995042647,"FIN"
2021,13943.81,"FJI"
2022,17014.9621656143,"FJI"
2023,20762.5417656498,"FJI"
2024,25335.5333014806,"FJI"
2025,30915.7354102181,"FJI"
2026,37724.9882440311,"FJI"
2027,46033.9926942803,"FJI"
2028,56173.0720674869,"FJI"
2029,68545.3040420527,"FJI"
2030,83642.5449648306,"FJI"
2031,102064.983531207,"FJI"
2032,124545.001202508,"FJI"
2033,151976.287928267,"FJI"
2034,185449.370664831,"FJI"
2035,226294.967121545,"FJI"
2036,276136.888256655,"FJI"
2037,336956.592654191,"FJI"
2038,411171.959132072,"FJI"
2039,501733.409175376,"FJI"
2040,612241.200528672,"FJI"
2041,747088.554937684,"FJI"
2042,911636.310063615,"FJI"
2043,1112426.03883247,"FJI"
2044,1357440.10874924,"FJI"
2045,1656419.01979844,"FJI"
2046,2021248.63665485,"FJI"
2047,2466432.70956659,"FJI"
2048,3009669.46891195,"FJI"
2049,3672555.21586577,"FJI"
2050,4481442.88032363,"FJI"
2021,3451909,"FRA"
2022,3474023.09579924,"FRA"
2023,3496278.86197074,"FRA"
2024,3518677.20610278,"FRA"
2025,3541219.04159797,"FRA"
2026,3563905.28771048,"FRA"
2027,3586736.86958354,"FRA"
2028,3609714.71828715,"FRA"
2029,3632839.77085608,"FRA"
2030,3656112.97032802,"FRA"
2031,3679535.26578213,"FRA"
2032,3703107.61237765,"FRA"
2033,3726830.97139291,"FRA"
2034,3750706.31026452,"FRA"
2035,3774734.60262681,"FRA"
2036,3798916.82835153,"FRA"
2037,3823253.97358784,"FRA"
2038,3847747.03080248,"FRA"
2039,3872396.9988203,"FRA"
2040,3897204.88286493,"FRA"
2041,3922171.69459981,"FRA"
2042,3947298.45216945,"FRA"
2043,3972586.18024092,"FRA"
2044,3998035.91004568,"FRA"
2045,4023648.67942157,"FRA"
2046,4049425.53285519,"FRA"
2047,4075367.52152449,"FRA"
2048,4101475.7033416,"FRA"
2049,4127751.142996,"FRA"
2050,4154194.91199791,"FRA"
2021,52120.68,"FRO"
2022,205341.063610205,"FRO"
2023,808986.997187493,"FRO"
2024,3187185.01848605,"FRO"
2025,12556627.4580155,"FRO"
