Year,Nation,iso_code3,pij_lndu_grasslands_to_other
2046,El Salvador,SLV,0.0035351324018759
2047,El Salvador,SLV,0.0034846197260786
2048,El Salvador,SLV,0.0034341070502812
2049,El Salvador,SLV,0.0033835943744838
2050,El Salvador,SLV,0.0033330816986864
2021,Equatorial Guinea,GNQ,0.0
2022,Equatorial Guinea,GNQ,0.0
2023,Equatorial Guinea,GNQ,0.0
2024,Equatorial Guinea,GNQ,0.0
2025,Equatorial Guinea,GNQ,0.0
2026,Equatorial Guinea,GNQ,0.0
2027,Equatorial Guinea,GNQ,0.0
2028,Equatorial Guinea,GNQ,0.0
2029,Equatorial Guinea,GNQ,0.0
2030,Equatorial Guinea,GNQ,0.0
2031,Equatorial Guinea,GNQ,0.0
2032,Equatorial Guinea,GNQ,0.0
2033,Equatorial Guinea,GNQ,0.0
2034,Equatorial Guinea,GNQ,0.0
2035,Equatorial Guinea,GNQ,0.0
2036,Equatorial Guinea,GNQ,0.0
2037,Equatorial Guinea,GNQ,0.0
2038,Equatorial Guinea,GNQ,0.0
2039,Equatorial Guinea,GNQ,0.0
2040,Equatorial Guinea,GNQ,0.0
2041,Equatorial Guinea,GNQ,0.0
2042,Equatorial Guinea,GNQ,0.0
2043,Equatorial Guinea,GNQ,0.0
2044,Equatorial Guinea,GNQ,0.0
2045,Equatorial Guinea,GNQ,0.0
2046,Equatorial Guinea,GNQ,0.0
2047,Equatorial Guinea,GNQ,0.0
2048,Equatorial Guinea,GNQ,0.0
2049,Equatorial Guinea,GNQ,0.0
2050,Equatorial Guinea,GNQ,0.0
2021,Estonia,EST,0.0
2022,Estonia,EST,0.0
2023,Estonia,EST,0.0
2024,Estonia,EST,0.0
2025,Estonia,EST,0.0
2026,Estonia,EST,0.0
2027,Estonia,EST,0.0
2028,Estonia,EST,0.0
2029,Estonia,EST,0.0
2030,Estonia,EST,0.0
2031,Estonia,EST,0.0
2032,Estonia,EST,0.0
2033,Estonia,EST,0.0
2034,Estonia,EST,0.0
2035,Estonia,EST,0.0
2036,Estonia,EST,0.0
2037,Estonia,EST,0.0
2038,Estonia,EST,0.0
2039,Estonia,EST,0.0
2040,Estonia,EST,0.0
2041,Estonia,EST,0.0
2042,Estonia,EST,0.0
2043,Estonia,EST,0.0
2044,Estonia,EST,0.0
2045,Estonia,EST,0.0
2046,Estonia,EST,0.0
2047,Estonia,EST,0.0
2048,Estonia,EST,0.0
2049,Estonia,EST,0.0
2050,Estonia,EST,0.0
2021,Faroe Islands,FRO,0.0001100653381593
2022,Faroe Islands,FRO,0.0001375816726992
2023,Faroe Islands,FRO,0.000165098007239
2024,Faroe Islands,FRO,0.0001926143417789
2025,Faroe Islands,FRO,0.0002201306763187
2026,Faroe Islands,FRO,0.0002476470108586
2027,Faroe Islands,FRO,0.0002751633453984
2028,Faroe Islands,FRO,0.0003026796799382
2029,Faroe Islands,FRO,0.0003301960144781
2030,Faroe Islands,FRO,0.0003577123490179
2031,Faroe Islands,FRO,0.0003852286835578
2032,Faroe Islands,FRO,0.0004127450180976
2033,Faroe Islands,FRO,0.0004402613526375
2034,Faroe Islands,FRO,0.0004677776871773
2035,Faroe Islands,FRO,0.0004952940217172
2036,Faroe Islands,FRO,0.000522810356257
2037,Faroe Islands,FRO,0.0005503266907969
2038,Faroe Islands,FRO,0.0005778430253367
2039,Faroe Islands,FRO,0.0006053593598765
2040,Faroe Islands,FRO,0.0006328756944164
2041,Faroe Islands,FRO,0.0006603920289562
2042,Faroe Islands,FRO,0.0006879083634961
2043,Faroe Islands,FRO,0.0007154246980359
2044,Faroe Islands,FRO,0.0007429410325758
2045,Faroe Islands,FRO,0.0007704573671156
2046,Faroe Islands,FRO,0.0007979737016555
2047,Faroe Islands,FRO,0.0008254900361953
2048,Faroe Islands,FRO,0.0008530063707352
2049,Faroe Islands,FRO,0.0008805227052750001
2050,Faroe Islands,FRO,0.0009080390398148
2021,Fiji,FJI,0.0
2022,Fiji,FJI,0.0
2023,Fiji,FJI,0.0
2024,Fiji,FJI,0.0
2025,Fiji,FJI,0.0
2026,Fiji,FJI,0.0
2027,Fiji,FJI,0.0
2028,Fiji,FJI,0.0
2029,Fiji,FJI,0.0
2030,Fiji,FJI,0.0
2031,Fiji,FJI,0.0
2032,Fiji,FJI,0.0
2033,Fiji,FJI,0.0
2034,Fiji,FJI,0.0
2035,Fiji,FJI,0.0
2036,Fiji,FJI,0.0
2037,Fiji,FJI,0.0
2038,Fiji,FJI,0.0
2039,Fiji,FJI,0.0
2040,Fiji,FJI,0.0
2041,Fiji,FJI,0.0
2042,Fiji,FJI,0.0
2043,Fiji,FJI,0.0
2044,Fiji,FJI,0.0
2045,Fiji,FJI,0.0
2046,Fiji,FJI,0.0
2047,Fiji,FJI,0.0
2048,Fiji,FJI,0.0
2049,Fiji,FJI,0.0
2050,Fiji,FJI,0.0
2021,France,FRA,0.0
2022,France,FRA,0.0
2023,France,FRA,0.0
2024,France,FRA,0.0
2025,France,FRA,0.0
2026,France,FRA,0.0
2027,France,FRA,0.0
2028,France,FRA,0.0
2029,France,FRA,0.0
2030,France,FRA,0.0
2031,France,FRA,0.0
2032,France,FRA,0.0
2033,France,FRA,0.0
2034,France,FRA,0.0
2035,France,FRA,0.0
2036,France,FRA,0.0
2037,France,FRA,0.0
2038,France,FRA,0.0
2039,France,FRA,0.0
2040,France,FRA,0.0
2041,France,FRA,0.0
2042,France,FRA,0.0
2043,France,FRA,0.0
2044,France,FRA,0.0
2045,France,FRA,0.0
2046,France,FRA,0.0
2047,France,FRA,0.0
2048,France,FRA,0.0
2049,France,FRA,0.0
2050,France,FRA,0.0
2021,French Polynesia,PYF,5.8401209494805176e-05
2022,French Polynesia,PYF,7.300151186850646e-05
2023,French Polynesia,PYF,8.760181424220776e-05
2024,French Polynesia,PYF,0.0001022021166159
2025,French Polynesia,PYF,0.0001168024189896
2026,French Polynesia,PYF,0.0001314027213633
2027,French Polynesia,PYF,0.00014600302373700001
2028,French Polynesia,PYF,0.0001606033261107
2029,French Polynesia,PYF,0.0001752036284844
2030,French Polynesia,PYF,0.0001898039308581
2031,French Polynesia,PYF,0.0002044042332318
2032,French Polynesia,PYF,0.0002190045356055
2033,French Polynesia,PYF,0.0002336048379792
2034,French Polynesia,PYF,0.0002482051403529
2035,French Polynesia,PYF,0.0002628054427266
2036,French Polynesia,PYF,0.0002774057451003
2037,French Polynesia,PYF,0.00029200604747400003
2038,French Polynesia,PYF,0.0003066063498477
2039,French Polynesia,PYF,0.0003212066522214
2040,French Polynesia,PYF,0.0003358069545951
2041,French Polynesia,PYF,0.0003504072569688
2042,French Polynesia,PYF,0.0003650075593425
2043,French Polynesia,PYF,0.0003796078617162
2044,French Polynesia,PYF,0.0003942081640899
2045,French Polynesia,PYF,0.0004088084664636
2046,French Polynesia,PYF,0.0004234087688373
2047,French Polynesia,PYF,0.000438009071211
2048,French Polynesia,PYF,0.0004526093735847
2049,French Polynesia,PYF,0.0004672096759584
2050,French Polynesia,PYF,0.0004818099783321
2021,Gabon,GAB,0.0
2022,Gabon,GAB,0.0
2023,Gabon,GAB,0.0
2024,Gabon,GAB,0.0
2025,Gabon,GAB,0.0
2026,Gabon,GAB,0.0
2027,Gabon,GAB,0.0
2028,Gabon,GAB,0.0
2029,Gabon,GAB,0.0
2030,Gabon,GAB,0.0
2031,Gabon,GAB,0.0
2032,Gabon,GAB,0.0
2033,Gabon,GAB,0.0
2034,Gabon,GAB,0.0
2035,Gabon,GAB,0.0
2036,Gabon,GAB,0.0
2037,Gabon,GAB,0.0
2038,Gabon,GAB,0.0
2039,Gabon,GAB,0.0
2040,Gabon,GAB,0.0
2041,Gabon,GAB,0.0
2042,Gabon,GAB,0.0
2043,Gabon,GAB,0.0
2044,Gabon,GAB,0.0
2045,Gabon,GAB,0.0
2046,Gabon,GAB,0.0
2047,Gabon,GAB,0.0
2048,Gabon,GAB,0.0
2049,Gabon,GAB,0.0
2050,Gabon,GAB,0.0
2021,Gambia,GMB,0.0001559580589295
2022,Gambia,GMB,0.0001949475736619
2023,Gambia,GMB,0.0002339370883943
2024,Gambia,GMB,0.0002729266031266
2025,Gambia,GMB,0.00031191611785900004
2026,Gambia,GMB,0.0003509056325914
2027,Gambia,GMB,0.0003898951473238
2028,Gambia,GMB,0.0004288846620562
2029,Gambia,GMB,0.0004678741767886
2030,Gambia,GMB,0.0005068636915209
2031,Gambia,GMB,0.0005458532062533
2032,Gambia,GMB,0.0005848427209857
2033,Gambia,GMB,0.0006238322357181
2034,Gambia,GMB,0.0006628217504505
2035,Gambia,GMB,0.0007018112651829
2036,Gambia,GMB,0.0007408007799152
2037,Gambia,GMB,0.0007797902946476
2038,Gambia,GMB,0.0008187798093799999
2039,Gambia,GMB,0.0008577693241124
2040,Gambia,GMB,0.0008967588388448
2041,Gambia,GMB,0.0009357483535772
2042,Gambia,GMB,0.0009747378683095
2043,Gambia,GMB,0.0010137273830419
2044,Gambia,GMB,0.0010527168977743
2045,Gambia,GMB,0.0010917064125067
2046,Gambia,GMB,0.0011306959272391
2047,Gambia,GMB,0.0011696854419715
2048,Gambia,GMB,0.0012086749567038
2049,Gambia,GMB,0.0012476644714362
2050,Gambia,GMB,0.0012866539861686
2021,Georgia,GEO,0.00046931245741699994
2022,Georgia,GEO,0.0004607702218942
2023,Georgia,GEO,0.0004522279863714
2024,Georgia,GEO,0.0004436857508486
2025,Georgia,GEO,0.0004351435153259
2026,Georgia,GEO,0.0004266012798031
2027,Georgia,GEO,0.0004180590442803
2028,Georgia,GEO,0.0004095168087575
2029,Georgia,GEO,0.0004009745732348
2030,Georgia,GEO,0.0003924323377119999
2031,Georgia,GEO,0.0003838901021892
2032,Georgia,GEO,0.0003753478666664
2033,Georgia,GEO,0.0003668056311437
2034,Georgia,GEO,0.0003582633956209
2035,Georgia,GEO,0.0003497211600981
2036,Georgia,GEO,0.0003411789245753
2037,Georgia,GEO,0.0003326366890526
2038,Georgia,GEO,0.0003240944535298
2039,Georgia,GEO,0.00031555221800700007
2040,Georgia,GEO,0.0003070099824842
2041,Georgia,GEO,0.0002984677469615
2042,Georgia,GEO,0.0002899255114387
2043,Georgia,GEO,0.0002813832759159
2044,Georgia,GEO,0.0002728410403931
2045,Georgia,GEO,0.0002642988048704
2046,Georgia,GEO,0.0002557565693476
2047,Georgia,GEO,0.0002472143338248
2048,Georgia,GEO,0.00023867209830200003
2049,Georgia,GEO,0.0002301298627793
2050,Georgia,GEO,0.0002215876272565
2021,Ghana,GHA,0.0006878578323736
2022,Ghana,GHA,0.000859822290467
2023,Ghana,GHA,0.0010317867485604
2024,Ghana,GHA,0.0012037512066538
2025,Ghana,GHA,0.0013757156647473
2026,Ghana,GHA,0.0015476801228407
2027,Ghana,GHA,0.0017196445809341
2028,Ghana,GHA,0.0018916090390275
2029,Ghana,GHA,0.0020635734971209
2030,Ghana,GHA,0.0022355379552143
2031,Ghana,GHA,0.0024075024133077
2032,Ghana,GHA,0.0025794668714012
2033,Ghana,GHA,0.0027514313294946
2034,Ghana,GHA,0.002923395787588
2035,Ghana,GHA,0.0030953602456814
2036,Ghana,GHA,0.0032673247037748
2037,Ghana,GHA,0.0034392891618682
2038,Ghana,GHA,0.0036112536199616
2039,Ghana,GHA,0.0037832180780551
2040,Ghana,GHA,0.0039551825361485
2041,Ghana,GHA,0.0041271469942419
2042,Ghana,GHA,0.0042991114523353
2043,Ghana,GHA,0.0044710759104287
2044,Ghana,GHA,0.0046430403685221
2045,Ghana,GHA,0.0048150048266155
2046,Ghana,GHA,0.0049869692847089
2047,Ghana,GHA,0.0051589337428024
2048,Ghana,GHA,0.0053308982008958
2049,Ghana,GHA,0.0055028626589892
2050,Ghana,GHA,0.0056748271170826
2021,Grenada,GRD,0.0
2022,Grenada,GRD,0.0
2023,Grenada,GRD,0.0
2024,Grenada,GRD,0.0
2025,Grenada,GRD,0.0
2026,Grenada,GRD,0.0
2027,Grenada,GRD,0.0
2028,Grenada,GRD,0.0
2029,Grenada,GRD,0.0
2030,Grenada,GRD,0.0
2031,Grenada,GRD,0.0
2032,Grenada,GRD,0.0
2033,Grenada,GRD,0.0
2034,Grenada,GRD,0.0
2035,Grenada,GRD,0.0
2036,Grenada,GRD,0.0
2037,Grenada,GRD,0.0
2038,Grenada,GRD,0.0
2039,Grenada,GRD,0.0
2040,Grenada,GRD,0.0
2041,Grenada,GRD,0.0
2042,Grenada,GRD,0.0
2043,Grenada,GRD,0.0
2044,Grenada,GRD,0.0
2045,Grenada,GRD,0.0
2046,Grenada,GRD,0.0
2047,Grenada,GRD,0.0
2048,Grenada,GRD,0.0
2049,Grenada,GRD,0.0
2050,Grenada,GRD,0.0
2021,Guadeloupe,GLP,0.0004431472721741
2022,Guadeloupe,GLP,0.0004417203711646
2023,Guadeloupe,GLP,0.00044029347015499997
2024,Guadeloupe,GLP,0.0004388665691455
2025,Guadeloupe,GLP,0.00043743966813599995
2026,Guadeloupe,GLP,0.0004360127671265
2027,Guadeloupe,GLP,0.000434585866117
2028,Guadeloupe,GLP,0.0004331589651075
2029,Guadeloupe,GLP,0.0004317320640979
2030,Guadeloupe,GLP,0.0004303051630884
2031,Guadeloupe,GLP,0.0004288782620789
2032,Guadeloupe,GLP,0.0004274513610694
2033,Guadeloupe,GLP,0.0004260244600599
2034,Guadeloupe,GLP,0.0004245975590504
2035,Guadeloupe,GLP,0.0004231706580408
2036,Guadeloupe,GLP,0.0004217437570313
2037,Guadeloupe,GLP,0.0004203168560218
2038,Guadeloupe,GLP,0.0004188899550123
2039,Guadeloupe,GLP,0.0004174630540028
2040,Guadeloupe,GLP,0.0004160361529933
2041,Guadeloupe,GLP,0.0004146092519837
2042,Guadeloupe,GLP,0.0004131823509742
2043,Guadeloupe,GLP,0.0004117554499647
2044,Guadeloupe,GLP,0.0004103285489552
2045,Guadeloupe,GLP,0.0004089016479457
2046,Guadeloupe,GLP,0.0004074747469361
2047,Guadeloupe,GLP,0.0004060478459266
2048,Guadeloupe,GLP,0.0004046209449171
2049,Guadeloupe,GLP,0.0004031940439076
2050,Guadeloupe,GLP,0.0004017671428981
2021,Guam,GUM,7.092207295948343e-21
2022,Guam,GUM,8.865259119935431e-21
2023,Guam,GUM,1.0638310943922513e-20
2024,Guam,GUM,1.2411362767909599e-20
2025,Guam,GUM,1.4184414591896686e-20
2026,Guam,GUM,1.595746641588377e-20
2027,Guam,GUM,1.7730518239870862e-20
2028,Guam,GUM,1.9503570063857942e-20
2029,Guam,GUM,2.1276621887845025e-20
2030,Guam,GUM,2.3049673711832114e-20
2031,Guam,GUM,2.4822725535819198e-20
2032,Guam,GUM,2.6595777359806287e-20
2033,Guam,GUM,2.8368829183793367e-20
2034,Guam,GUM,3.0141881007780465e-20
2035,Guam,GUM,3.191493283176754e-20
2036,Guam,GUM,3.3687984655754626e-20
2037,Guam,GUM,3.5461036479741724e-20
2038,Guam,GUM,3.72340883037288e-20
2039,Guam,GUM,3.9007140127715884e-20
2040,Guam,GUM,4.078019195170297e-20
2041,Guam,GUM,4.255324377569005e-20
2042,Guam,GUM,4.4326295599677137e-20
2043,Guam,GUM,4.609934742366423e-20
2044,Guam,GUM,4.7872399247651315e-20
2045,Guam,GUM,4.9645451071638395e-20
2046,Guam,GUM,5.141850289562549e-20
2047,Guam,GUM,5.3191554719612574e-20
2048,Guam,GUM,5.496460654359967e-20
2049,Guam,GUM,5.673765836758675e-20
2050,Guam,GUM,5.851071019157383e-20
2021,Guatemala,GTM,0.0
2022,Guatemala,GTM,0.0
2023,Guatemala,GTM,0.0
2024,Guatemala,GTM,0.0
2025,Guatemala,GTM,0.0
2026,Guatemala,GTM,0.0
2027,Guatemala,GTM,0.0
2028,Guatemala,GTM,0.0
2029,Guatemala,GTM,0.0
2030,Guatemala,GTM,0.0
2031,Guatemala,GTM,0.0
2032,Guatemala,GTM,0.0
2033,Guatemala,GTM,0.0
2034,Guatemala,GTM,0.0
2035,Guatemala,GTM,0.0
2036,Guatemala,GTM,0.0
2037,Guatemala,GTM,0.0
2038,Guatemala,GTM,0.0
2039,Guatemala,GTM,0.0
2040,Guatemala,GTM,0.0
2041,Guatemala,GTM,0.0
2042,Guatemala,GTM,0.0
2043,Guatemala,GTM,0.0
2044,Guatemala,GTM,0.0
2045,Guatemala,GTM,0.0
2046,Guatemala,GTM,0.0
2047,Guatemala,GTM,0.0
2048,Guatemala,GTM,0.0
2049,Guatemala,GTM,0.0
2050,Guatemala,GTM,0.0
2021,Guinea,GIN,0.0023684978129964
2022,Guinea,GIN,0.0023271694972073
2023,Guinea,GIN,0.0022858411814182
2024,Guinea,GIN,0.0022445128656292
2025,Guinea,GIN,0.0022031845498401
2026,Guinea,GIN,0.002161856234051
2027,Guinea,GIN,0.002120527918262
2028,Guinea,GIN,0.0020791996024729
2029,Guinea,GIN,0.0020378712866838
2030,Guinea,GIN,0.0019965429708948
2031,Guinea,GIN,0.0019552146551057
2032,Guinea,GIN,0.0019138863393166
2033,Guinea,GIN,0.0018725580235275
2034,Guinea,GIN,0.0018312297077385
2035,Guinea,GIN,0.0017899013919494
2036,Guinea,GIN,0.0017485730761603
2037,Guinea,GIN,0.0017072447603713
2038,Guinea,GIN,0.0016659164445822
2039,Guinea,GIN,0.0016245881287931
2040,Guinea,GIN,0.0015832598130041
2041,Guinea,GIN,0.001541931497215
2042,Guinea,GIN,0.0015006031814259
2043,Guinea,GIN,0.0014592748656369
2044,Guinea,GIN,0.0014179465498478
2045,Guinea,GIN,0.0013766182340587
2046,Guinea,GIN,0.0013352899182696
2047,Guinea,GIN,0.0012939616024806
2048,Guinea,GIN,0.0012526332866915
2049,Guinea,GIN,0.0012113049709024
2050,Guinea,GIN,0.0011699766551134
2021,Guinea-Bissau,GNB,0.0
2022,Guinea-Bissau,GNB,0.0
2023,Guinea-Bissau,GNB,0.0
2024,Guinea-Bissau,GNB,0.0
2025,Guinea-Bissau,GNB,0.0
2026,Guinea-Bissau,GNB,0.0
2027,Guinea-Bissau,GNB,0.0
2028,Guinea-Bissau,GNB,0.0
2029,Guinea-Bissau,GNB,0.0
2030,Guinea-Bissau,GNB,0.0
2031,Guinea-Bissau,GNB,0.0
2032,Guinea-Bissau,GNB,0.0
2033,Guinea-Bissau,GNB,0.0
2034,Guinea-Bissau,GNB,0.0
2035,Guinea-Bissau,GNB,0.0
2036,Guinea-Bissau,GNB,0.0
2037,Guinea-Bissau,GNB,0.0
2038,Guinea-Bissau,GNB,0.0
2039,Guinea-Bissau,GNB,0.0
2040,Guinea-Bissau,GNB,0.0
2041,Guinea-Bissau,GNB,0.0
2042,Guinea-Bissau,GNB,0.0
2043,Guinea-Bissau,GNB,0.0
2044,Guinea-Bissau,GNB,0.0
2045,Guinea-Bissau,GNB,0.0
2046,Guinea-Bissau,GNB,0.0
2047,Guinea-Bissau,GNB,0.0
2048,Guinea-Bissau,GNB,0.0
2049,Guinea-Bissau,GNB,0.0
2050,Guinea-Bissau,GNB,0.0
2021,Guyana,GUY,0.0
2022,Guyana,GUY,0.0
2023,Guyana,GUY,0.0
2024,Guyana,GUY,0.0
2025,Guyana,GUY,0.0
2026,Guyana,GUY,0.0
2027,Guyana,GUY,0.0
2028,Guyana,GUY,0.0
2029,Guyana,GUY,0.0
2030,Guyana,GUY,0.0
2031,Guyana,GUY,0.0
2032,Guyana,GUY,0.0
2033,Guyana,GUY,0.0
2034,Guyana,GUY,0.0
2035,Guyana,GUY,0.0
2036,Guyana,GUY,0.0
2037,Guyana,GUY,0.0
2038,Guyana,GUY,0.0
2039,Guyana,GUY,0.0
2040,Guyana,GUY,0.0
2041,Guyana,GUY,0.0
2042,Guyana,GUY,0.0
2043,Guyana,GUY,0.0
2044,Guyana,GUY,0.0
2045,Guyana,GUY,0.0
2046,Guyana,GUY,0.0
2047,Guyana,GUY,0.0
2048,Guyana,GUY,0.0
2049,Guyana,GUY,0.0
2050,Guyana,GUY,0.0
2021,Haiti,HTI,0.0022770767908122
2022,Haiti,HTI,0.0022213459885153
2023,Haiti,HTI,0.0021656151862184
2024,Haiti,HTI,0.0021098843839215
2025,Haiti,HTI,0.0020541535816246
2026,Haiti,HTI,0.0019984227793277
2027,Haiti,HTI,0.0019426919770308
2028,Haiti,HTI,0.0018869611747339
2029,Haiti,HTI,0.001831230372437
2030,Haiti,HTI,0.0017754995701401
2031,Haiti,HTI,0.0017197687678432
2032,Haiti,HTI,0.0016640379655463
2033,Haiti,HTI,0.0016083071632494
2034,Haiti,HTI,0.0015525763609525
2035,Haiti,HTI,0.0014968455586556
2036,Haiti,HTI,0.0014411147563587
2037,Haiti,HTI,0.0013853839540617
2038,Haiti,HTI,0.0013296531517648
2039,Haiti,HTI,0.0012739223494679
2040,Haiti,HTI,0.001218191547171
2041,Haiti,HTI,0.0011624607448741
2042,Haiti,HTI,0.0011067299425772
2043,Haiti,HTI,0.0010509991402803
2044,Haiti,HTI,0.0009952683379834
2045,Haiti,HTI,0.0009395375356865
2046,Haiti,HTI,0.0008838067333896
2047,Haiti,HTI,0.0008280759310927
2048,Haiti,HTI,0.0007723451287958
2049,Haiti,HTI,0.0007166143264989
2050,Haiti,HTI,0.000660883524202
2021,Honduras,HND,5.0804722891193e-05
2022,Honduras,HND,6.350590361399125e-05
2023,Honduras,HND,7.62070843367895e-05
2024,Honduras,HND,8.890826505958776e-05
2025,Honduras,HND,0.0001016094457823
2026,Honduras,HND,0.0001143106265051
2027,Honduras,HND,0.0001270118072279
2028,Honduras,HND,0.0001397129879507
2029,Honduras,HND,0.0001524141686735
2030,Honduras,HND,0.0001651153493963
2031,Honduras,HND,0.0001778165301191
2032,Honduras,HND,0.0001905177108419
2033,Honduras,HND,0.0002032188915647
2034,Honduras,HND,0.0002159200722875
2035,Honduras,HND,0.0002286212530103
2036,Honduras,HND,0.0002413224337331
2037,Honduras,HND,0.0002540236144559
2038,Honduras,HND,0.0002667247951787
2039,Honduras,HND,0.0002794259759015
2040,Honduras,HND,0.0002921271566243
2041,Honduras,HND,0.0003048283373471
2042,Honduras,HND,0.0003175295180699
2043,Honduras,HND,0.0003302306987927
2044,Honduras,HND,0.0003429318795155
2045,Honduras,HND,0.0003556330602383
2046,Honduras,HND,0.0003683342409611
2047,Honduras,HND,0.0003810354216839
2048,Honduras,HND,0.0003937366024067
2049,Honduras,HND,0.0004064377831295
2050,Honduras,HND,0.0004191389638523
2021,Iceland,ISL,0.0041499253304247
2022,Iceland,ISL,0.0041367583157763
2023,Iceland,ISL,0.0041235913011279
2024,Iceland,ISL,0.0041104242864795
2025,Iceland,ISL,0.0040972572718311
2026,Iceland,ISL,0.0040840902571827
2027,Iceland,ISL,0.0040709232425343
2028,Iceland,ISL,0.0040577562278859
2029,Iceland,ISL,0.0040445892132375
2030,Iceland,ISL,0.0040314221985891
2031,Iceland,ISL,0.0040182551839407
2032,Iceland,ISL,0.0040050881692923
2033,Iceland,ISL,0.0039919211546439
2034,Iceland,ISL,0.0039787541399955
2035,Iceland,ISL,0.0039655871253471
2036,Iceland,ISL,0.0039524201106987
2037,Iceland,ISL,0.0039392530960503
2038,Iceland,ISL,0.0039260860814019
2039,Iceland,ISL,0.0039129190667535
2040,Iceland,ISL,0.0038997520521051
2041,Iceland,ISL,0.0038865850374567
2042,Iceland,ISL,0.0038734180228083
2043,Iceland,ISL,0.0038602510081599
2044,Iceland,ISL,0.0038470839935115
2045,Iceland,ISL,0.0038339169788631
2046,Iceland,ISL,0.0038207499642147
2047,Iceland,ISL,0.0038075829495664
2048,Iceland,ISL,0.0037944159349179996
2049,Iceland,ISL,0.0037812489202696
2050,Iceland,ISL,0.0037680819056212
2021,India,IND,0.0
2022,India,IND,0.0
2023,India,IND,0.0
2024,India,IND,0.0
2025,India,IND,0.0
2026,India,IND,0.0
2027,India,IND,0.0
2028,India,IND,0.0
2029,India,IND,0.0
2030,India,IND,0.0
2031,India,IND,0.0
2032,India,IND,0.0
2033,India,IND,0.0
2034,India,IND,0.0
2035,India,IND,0.0
2036,India,IND,0.0
2037,India,IND,0.0
2038,India,IND,0.0
2039,India,IND,0.0
2040,India,IND,0.0
2041,India,IND,0.0
2042,India,IND,0.0
2043,India,IND,0.0
2044,India,IND,0.0
2045,India,IND,0.0
2046,India,IND,0.0
2047,India,IND,0.0
2048,India,IND,0.0
2049,India,IND,0.0
2050,India,IND,0.0
2021,Indonesia,IDN,0.0044715508965133
2022,Indonesia,IDN,0.0043394386206416
2023,Indonesia,IDN,0.00420732634477
2024,Indonesia,IDN,0.0040752140688983
2025,Indonesia,IDN,0.0039431017930266
2026,Indonesia,IDN,0.0038109895171550006
2027,Indonesia,IDN,0.0036788772412833
2028,Indonesia,IDN,0.0035467649654117
2029,Indonesia,IDN,0.0034146526895399995
2030,Indonesia,IDN,0.0032825404136683
2031,Indonesia,IDN,0.0031504281377967
2032,Indonesia,IDN,0.0030183158619250003
2033,Indonesia,IDN,0.0028862035860533
2034,Indonesia,IDN,0.0027540913101817
2035,Indonesia,IDN,0.00262197903431
2036,Indonesia,IDN,0.0024898667584384
2037,Indonesia,IDN,0.0023577544825667
2038,Indonesia,IDN,0.002225642206695
2039,Indonesia,IDN,0.0020935299308234
2040,Indonesia,IDN,0.0019614176549517
2041,Indonesia,IDN,0.00182930537908
2042,Indonesia,IDN,0.0016971931032084
2043,Indonesia,IDN,0.0015650808273367
2044,Indonesia,IDN,0.0014329685514651
2045,Indonesia,IDN,0.0013008562755934
2046,Indonesia,IDN,0.0011687439997217
2047,Indonesia,IDN,0.0010366317238501
2048,Indonesia,IDN,0.0009045194479784
2049,Indonesia,IDN,0.0007724071721067
2050,Indonesia,IDN,0.0006402948962351
2021,Iran (Islamic Republic of),IRN,0.0001591336329822
2022,Iran (Islamic Republic of),IRN,0.0001989170412277
2023,Iran (Islamic Republic of),IRN,0.0002387004494733
2024,Iran (Islamic Republic of),IRN,0.0002784838577188
2025,Iran (Islamic Republic of),IRN,0.0003182672659644
2026,Iran (Islamic Republic of),IRN,0.0003580506742099
2027,Iran (Islamic Republic of),IRN,0.0003978340824555
2028,Iran (Islamic Republic of),IRN,0.00043761749070099997
2029,Iran (Islamic Republic of),IRN,0.0004774008989466
2030,Iran (Islamic Republic of),IRN,0.0005171843071921
2031,Iran (Islamic Republic of),IRN,0.0005569677154377
2032,Iran (Islamic Republic of),IRN,0.0005967511236832
2033,Iran (Islamic Republic of),IRN,0.0006365345319288
2034,Iran (Islamic Republic of),IRN,0.0006763179401743
2035,Iran (Islamic Republic of),IRN,0.0007161013484199
2036,Iran (Islamic Republic of),IRN,0.0007558847566654
2037,Iran (Islamic Republic of),IRN,0.000795668164911
2038,Iran (Islamic Republic of),IRN,0.0008354515731565
2039,Iran (Islamic Republic of),IRN,0.0008752349814021
2040,Iran (Islamic Republic of),IRN,0.0009150183896476
2041,Iran (Islamic Republic of),IRN,0.0009548017978932
2042,Iran (Islamic Republic of),IRN,0.0009945852061387
2043,Iran (Islamic Republic of),IRN,0.0010343686143843
2044,Iran (Islamic Republic of),IRN,0.0010741520226298
2045,Iran (Islamic Republic of),IRN,0.0011139354308754
2046,Iran (Islamic Republic of),IRN,0.0011537188391209
2047,Iran (Islamic Republic of),IRN,0.0011935022473665
2048,Iran (Islamic Republic of),IRN,0.001233285655612
2049,Iran (Islamic Republic of),IRN,0.0012730690638576
2050,Iran (Islamic Republic of),IRN,0.0013128524721031
2021,Iraq,IRQ,5.11147995802798e-05
2022,Iraq,IRQ,6.389349947534974e-05
2023,Iraq,IRQ,7.66721993704197e-05
2024,Iraq,IRQ,8.945089926548965e-05
2025,Iraq,IRQ,0.0001022295991605
2026,Iraq,IRQ,0.0001150082990556
2027,Iraq,IRQ,0.0001277869989506
2028,Iraq,IRQ,0.0001405656988457
2029,Iraq,IRQ,0.0001533443987408
